db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6H7|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6H8|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6H9|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I0|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I1|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I3|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I4|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I6|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I7|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6I9|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6J1|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6J2|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6J6|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6J9|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6K0|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6K2|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6K4|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6K5|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6K6|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6L2|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6L6|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6N1|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6N2|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6N3|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6N4|protein|GO_0002250|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A0A075B6P5|protein|GO_0002250|biological_process|9606
