db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A0A024RBG1|protein|GO_0005829|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6H7|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6H7|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6H8|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6H8|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6H9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6H9|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I0|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I0|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I1|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I1|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I3|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I3|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I4|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I4|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I6|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I6|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I7|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I7|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6I9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6I9|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6J1|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6J1|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6J2|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6J2|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6J6|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6J6|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6J9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6J9|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6K0|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6K0|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6K2|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6K2|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6K4|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6K4|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6K5|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6K5|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6K6|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6K6|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6L2|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6L6|protein|GO_0042101|cellular_component|9606
"[""PMID:21081917""]"|IDA|located_in|"[""part_of""]"|A0A075B6N1|protein|GO_0042105|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6N2|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6N3|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6N4|protein|GO_0042101|cellular_component|9606
"[""Reactome:R-HSA-166753""]"|TAS|located_in|"[""located_in""]"|A0A075B6P5|protein|GO_0005576|cellular_component|9606
"[""Reactome:R-HSA-1112666""]"|TAS|located_in|"[""located_in""]"|A0A075B6P5|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6P5|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6Q5|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6Q5|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6R0|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6R2|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6R2|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6R9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6R9|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6S0|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6S2|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6S2|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6S4|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6S4|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6S5|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6S5|protein|GO_0019814|cellular_component|9606
"[""Reactome:R-HSA-166753""]"|TAS|located_in|"[""located_in""]"|A0A075B6S6|protein|GO_0005576|cellular_component|9606
"[""Reactome:R-HSA-1112666""]"|TAS|located_in|"[""located_in""]"|A0A075B6S6|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6S6|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A0A075B6S9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6S9|protein|GO_0019814|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6T6|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6T7|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6T8|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6U4|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6V5|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6W5|protein|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A0A075B6X5|protein|GO_0042101|cellular_component|9606
