db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000177144|gene|GO_0003723|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000177144|gene|GO_0046872|molecular_function|9606
"[""PMID:21081917""]"|IPI|enables|"[""enables""]"|ENSG00000211809|gene|GO_0005515|molecular_function|9606
"[""PMID:35044719""]"|IPI|enables|"[""enables""]"|ENSG00000271383|gene|GO_0005515|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000233757|gene|GO_0046872|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000205702|gene|GO_0005506|molecular_function|9606
"[""PMID:15051713""]"|IDA|enables|"[""enables""]"|ENSG00000205702|gene|GO_0070330|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000286106|gene|GO_0005509|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000260220|gene|GO_0008017|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000279408|gene|GO_0004930|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000279408|gene|GO_0004984|molecular_function|9606
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|ENSG00000211799|gene|GO_0042287|molecular_function|9606
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|ENSG00000211799|gene|GO_0042605|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000255552|gene|GO_0004675|molecular_function|9606
"[""PMID:31653868""]"|IPI|enables|"[""enables""]"|ENSG00000225973|gene|GO_0005515|molecular_function|9606
"[""PMID:29983246""]"|IDA|enables|"[""enables""]"|ENSG00000211459|gene|GO_0003677|molecular_function|9606
"[""PMID:29983246""]"|IPI|enables|"[""enables""]"|ENSG00000211459|gene|GO_0140297|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000282815|gene|GO_0046872|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000282419|gene|GO_0046872|molecular_function|9606
"[""PMID:26221034""]"|IPI|enables|"[""enables""]"|ENSG00000284690|gene|GO_0005515|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000255151|gene|GO_0047961|molecular_function|9606
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|ENSG00000263201|gene|GO_0005515|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000283039|gene|GO_0046872|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000223591|gene|GO_0016846|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000223591|gene|GO_0046872|molecular_function|9606
"[""PMID:27918561""]"|IPI|enables|"[""enables""]"|ENSG00000204272|gene|GO_0005515|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000224109|gene|GO_0016846|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000224109|gene|GO_0046872|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000182974|gene|GO_0004930|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|ENSG00000182974|gene|GO_0004984|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|ENSG00000221933|gene|GO_0004930|molecular_function|9606
