db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A024RBG1|protein|GO_0003723|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A024RBG1|protein|GO_0046872|molecular_function|9606
"[""PMID:21081917""]"|IPI|enables|"[""enables""]"|A0A087WT01|protein|GO_0005515|molecular_function|9606
"[""PMID:35044719""]"|IPI|enables|"[""enables""]"|A0A087WUL8|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A087WUV0|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A087X1C5|protein|GO_0005506|molecular_function|9606
"[""PMID:15051713""]"|IDA|enables|"[""enables""]"|A0A087X1C5|protein|GO_0070330|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A096LNW5|protein|GO_0005509|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A096LP49|protein|GO_0008017|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A096LPK9|protein|GO_0004930|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A096LPK9|protein|GO_0004984|molecular_function|9606
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|A0A0A6YYK7|protein|GO_0042287|molecular_function|9606
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|A0A0A6YYK7|protein|GO_0042605|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0B4J1T7|protein|GO_0004675|molecular_function|9606
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|A0A0B4J2D5|protein|GO_0005515|molecular_function|9606
"[""PMID:31653868""]"|IPI|enables|"[""enables""]"|A0A0B4J2F0|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0B4J2F2|protein|GO_0000287|molecular_function|9606
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|A0A0B4J2F2|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0B4J2F2|protein|GO_0005524|molecular_function|9606
"[""GO_REF:0000116""]"|IEA|enables|"[""enables""]"|A0A0B4J2F2|protein|GO_0106310|molecular_function|9606
"[""PMID:29983246""]"|IDA|enables|"[""enables""]"|A0A0C5B5G6|protein|GO_0003677|molecular_function|9606
"[""PMID:29983246""]"|IPI|enables|"[""enables""]"|A0A0C5B5G6|protein|GO_0140297|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0G2JMH3|protein|GO_0003924|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0G2JMH3|protein|GO_0005525|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0G2JNH3|protein|GO_0004930|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0G2JNH3|protein|GO_0004984|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0J9YWL9|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0J9YY54|protein|GO_0046872|molecular_function|9606
"[""PMID:26221034""]"|IPI|enables|"[""enables""]"|A0A0K2S4Q6|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0U1RQE8|protein|GO_0047961|molecular_function|9606
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|A0A0U1RQF7|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0U1RQI7|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0U1RR11|protein|GO_0016846|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0U1RR11|protein|GO_0046872|molecular_function|9606
"[""PMID:27918561""]"|IPI|enables|"[""enables""]"|A0A0U1RRE5|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0U1RRI6|protein|GO_0016846|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0U1RRI6|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A0X1KG70|protein|GO_0004930|molecular_function|9606
