alternative_ids|id|synonym|term_name
|GO_0090169|"[""regulation of spindle formation""]"|regulation of spindle assembly
|GO_0035938|"[""oestradiol secretion""]"|estradiol secretion
|GO_1901634|"[""activation of synaptic vesicle membrane organization and biogenesis"", ""positive regulation of synaptic vesicle membrane organization and biogenesis"", ""up regulation of synaptic vesicle membrane organization and biogenesis"", ""up-regulation of synaptic vesicle membrane organization and biogenesis"", ""upregulation of synaptic vesicle membrane organization and biogenesis"", ""positive regulation of synaptic vesicle membrane organisation"", ""up regulation of synaptic vesicle membrane organisation"", ""up regulation of synaptic vesicle membrane organization"", ""up-regulation of synaptic vesicle membrane organisation"", ""up-regulation of synaptic vesicle membrane organization"", ""upregulation of synaptic vesicle membrane organisation"", ""upregulation of synaptic vesicle membrane organization""]"|positive regulation of synaptic vesicle membrane organization
|GO_0046173|"[""polyhydric alcohol biosynthetic process"", ""polyol anabolism"", ""polyol biosynthesis"", ""polyol formation"", ""polyol synthesis""]"|polyol biosynthetic process
|GO_0140113|"[""extracellular microvesicle assembly""]"|extracellular microvesicle biogenesis
|GO_0002302|"[""CD8-positive, alpha-beta T cell differentiation during immune response"", ""CD8-positive, alpha-beta T lymphocyte differentiation during immune response"", ""CD8-positive, alpha-beta T-cell differentiation during immune response"", ""CD8-positive, alpha-beta T-lymphocyte differentiation during immune response"", ""CD8-positive, alpha-beta intraepithelial T cell development""]"|CD8-positive, alpha-beta T cell differentiation involved in immune response
|GO_0048206|"[""cis-Golgi to rough ER targeting"", ""cis-Golgi to rough endoplasmic reticulum targeting"", ""vesicle targeting, cis-Golgi to rough ER""]"|vesicle targeting, cis-Golgi to rough endoplasmic reticulum
|GO_0006084|"[""acetyl coenzyme A metabolic process"", ""acetyl coenzyme A metabolism"", ""acetyl-CoA metabolism""]"|acetyl-CoA metabolic process
|GO_0060318|"[""definitive RBC differentiation"", ""definitive erythropoiesis"", ""definitive red blood cell differentiation""]"|definitive erythrocyte differentiation
|GO_1905051|"[""regulation of BER""]"|regulation of base-excision repair
"[""GO:0048470""]"|GO_0010198|"[""synergid cell death"", ""synergid degeneration""]"|synergid death
|GO_0003133|"[""endodermal-mesodermal cell signalling""]"|endodermal-mesodermal cell signaling
|GO_0036184|"[""asperthecin biosynthesis"", ""asperthecin formation"", ""asperthecin synthesis""]"|asperthecin biosynthetic process
|GO_0002051||osteoblast fate commitment
|GO_1900082|"[""down regulation of arginine breakdown"", ""down regulation of arginine catabolic process"", ""down regulation of arginine catabolism"", ""down regulation of arginine degradation"", ""down-regulation of arginine breakdown"", ""down-regulation of arginine catabolic process"", ""down-regulation of arginine catabolism"", ""down-regulation of arginine degradation"", ""downregulation of arginine breakdown"", ""downregulation of arginine catabolic process"", ""downregulation of arginine catabolism"", ""downregulation of arginine degradation"", ""negative regulation of arginine breakdown"", ""negative regulation of arginine catabolism"", ""negative regulation of arginine degradation""]"|negative regulation of arginine catabolic process
|GO_0048753|"[""pigment granule organization and biogenesis"", ""pigment granule organisation""]"|pigment granule organization
|GO_0036198|"[""dTMP biosynthesis via salvage pathway"", ""deoxythymidine monophosphate biosynthesis via salvage pathway""]"|dTMP salvage
|GO_2000765||regulation of cytoplasmic translation
|GO_0120070||negative regulation of stomach fundus smooth muscle contraction
|GO_0099613||protein localization to cell wall
|GO_0032489||regulation of Cdc42 protein signal transduction
|GO_1900305|"[""up regulation of laminaritriose transport"", ""up-regulation of laminaritriose transport"", ""upregulation of laminaritriose transport""]"|positive regulation of laminaritriose transport
|GO_2000208|"[""positive regulation of 30S ribosomal subunit export from nucleus"", ""positive regulation of 40S ribosomal subunit export from nucleus"", ""positive regulation of ribosomal small subunit export from cell nucleus"", ""positive regulation of ribosomal small subunit export out of nucleus"", ""positive regulation of ribosomal small subunit transport from nucleus to cytoplasm"", ""positive regulation of ribosomal small subunit-nucleus export""]"|positive regulation of ribosomal small subunit export from nucleus
|GO_1905053|"[""positive regulation of BER"", ""up regulation of BER"", ""up regulation of base-excision repair"", ""up-regulation of BER"", ""up-regulation of base-excision repair"", ""upregulation of BER"", ""upregulation of base-excision repair""]"|positive regulation of base-excision repair
|GO_0043685||conversion of glutamyl-tRNA to glutaminyl-tRNA
|GO_1900713|"[""regulation of violaceol I anabolism"", ""regulation of violaceol I biosynthesis"", ""regulation of violaceol I formation"", ""regulation of violaceol I synthesis""]"|regulation of violaceol I biosynthetic process
|GO_0099505|"[""regulation of pre-synaptic membrane potential""]"|regulation of presynaptic membrane potential
|GO_0071032|"[""nuclear mRNA catabolic process of mRNAs in aberrant mRNPs"", ""nuclear mRNA quality control of mRNAs in aberrant mRNPs""]"|nuclear mRNA surveillance of mRNP export
|GO_0075025|"[""initiation of appressorium on or near host"", ""appressorium initiation on or near host"", ""initiation of appressorium by symbiont on or near host"", ""initiation of symbiont appressorium on or near host""]"|initiation of appressorium formation
|GO_0090402|"[""OIS""]"|oncogene-induced cell senescence
