alternative_ids|id|synonym|term_name
|GO_0097145||BAK complex
|GO_1903561|"[""microparticle""]"|extracellular vesicle
|GO_0070354||GATA2-TAL1-TCF3-Lmo2 complex
|GO_1990934|"[""NLB"", ""compact nucleolus""]"|nucleolus-like body
|GO_0098691||dopaminergic synapse
|GO_0000178|"[""exosome (ribonucleasease complex)"", ""exosome multienzyme ribonuclease complex""]"|exosome (RNase complex)
|GO_0000151||ubiquitin ligase complex
|GO_0033163||microneme membrane
|GO_0035792|"[""other organism postsynaptic membrane"", ""other organism post-synaptic membrane""]"|host cell postsynaptic membrane
|GO_0140007||KICSTOR complex
|GO_0071755||IgM B cell receptor complex
|GO_0036013||cyanelle outer membrane
|GO_0016600||flotillin complex
|GO_0070357||alphav-beta3 integrin-CD47 complex
|GO_0000836|"[""HRD1 ubiquitin ligase complex""]"|Hrd1p ubiquitin ligase complex
|GO_0061497||inner plaque of mitotic spindle pole body
|GO_0032158||septin band
|GO_1990197|"[""MetNI transporter"", ""MetNIQ transporter"", ""MetNIQ transporter complex"", ""methionine transporter"", ""ATP-binding cassette (ABC) methionine importer complex"", ""ATP-dependent methionine importer complex"", ""ATP-dependent methionine importing complex"", ""ATP-dependent methionine-importing complex""]"|methionine-importing ABC transporter complex
|GO_0033620|"[""nuclear body"", ""Mei2 dot""]"|Mei2 nuclear dot complex
|GO_0097442||CA3 pyramidal cell dendrite
|GO_0043159||acrosomal matrix
|GO_0070505|"[""pollenkitt"", ""tryphine""]"|pollen coat
|GO_0097610|"[""cell surface groove""]"|cell surface furrow
|GO_0000809|"[""prokaryotic ORC"", ""cytoplasmic ORC""]"|cytoplasmic origin of replication recognition complex
|GO_0035840|"[""old growing cell end""]"|old growing cell tip
|GO_0035324||female germline ring canal
|GO_0097443|"[""MVB-tubule complex""]"|sorting endosome
|GO_0002116|"[""plexin-neurophilin complex""]"|semaphorin receptor complex
|GO_0150006||urease activator complex
|GO_0060102|"[""collagen and cuticulin-based exoskeleton extracellular matrix"", ""collagen and cuticulin-based cuticle extracellular matrix"", ""cuticular ECM""]"|cuticular extracellular matrix
|GO_0032283||plastid acetate CoA-transferase complex
|GO_0070703||outer mucus layer
|GO_0009539|"[""photosystem II reaction centre""]"|photosystem II reaction center
|GO_0034978|"[""acinar cell-specific C complex""]"|PDX1-PBX1b-MRG1 complex
|GO_1990012|"[""CLB""]"|complex laminated body
|GO_0031315||extrinsic component of mitochondrial outer membrane
|GO_0005785|"[""docking protein complex"", ""SR complex""]"|signal recognition particle receptor complex
|GO_0044308|"[""axon spine""]"|axonal spine
|GO_0070939|"[""Dsl1p complex"", ""NZR complex""]"|Dsl1/NZR complex
|GO_0044842||gut granule lumen
|GO_0090545||CHD-type complex
|GO_0005945||6-phosphofructokinase complex
|GO_0070520||alpha4-beta1 integrin-CD81 complex
|GO_1990112|"[""ribosome quality control complex"", ""ribosome-bound quality control complex""]"|RQC complex
|GO_1990154|"[""maltose transporter inhibitor complex"", ""EIIA(Glc)-MalFGK2 complex"", ""EIIA(Glc)-maltose transporter complex""]"|enzyme IIA-maltose transporter complex
|GO_0071920||cleavage body
|GO_0070419|"[""NHEJ complex"", ""non-homologous end joining complex""]"|nonhomologous end joining complex
|GO_0098922||extrinsic component of dense core granule membrane
|GO_1990812||growth cone filopodium
|GO_0042566||hydrogenosome
|GO_1990031||pinceau fiber
|GO_0032046|"[""MIPA"", ""micropexophagic apparatus""]"|micropexophagy-specific membrane apparatus
|GO_0097356|"[""perinucleolar region""]"|perinucleolar compartment
|GO_0033095|"[""aleurone body""]"|aleurone grain
|GO_0097445|"[""active zone dense projection"", ""pre-synaptic active zone dense projection""]"|presynaptic active zone dense projection
|GO_0009365||protein histidine kinase complex
|GO_0140091|"[""muscle-specific BAF complex"", ""muscle-specific SWI/SNF complex"", ""muscle-type BAF complex"", ""muscle-type SWI/SNF complex""]"|mBAF complex
|GO_0140595|"[""mitochondrial outer import machinery""]"|MIM complex
|GO_0033645||host cell endomembrane system
|GO_0140095||cytoplasmic lattice
|GO_0035253|"[""cilial rootlet"", ""cilium rootlet""]"|ciliary rootlet
|GO_0071261||Ssh1 translocon complex
|GO_1990722|"[""death-associated protein kinase 1 - calmodulin complex""]"|DAPK1-calmodulin complex
|GO_0044155||host caveola
|GO_0070115|"[""Paulinella-type chromatophore intermembrane space""]"|organellar chromatophore intermembrane space
|GO_0048770||pigment granule
|GO_0097561|"[""right caudal cilium""]"|right caudal flagellum
|GO_0005680|"[""anaphase promoting complex"", ""cyclosome""]"|anaphase-promoting complex
|GO_0033644||host cell membrane
|GO_0000346|"[""TREX complex""]"|transcription export complex
|GO_0009318||exodeoxyribonuclease VII complex
|GO_0070722|"[""Grg3b-Grg5 complex""]"|Tle3-Aes complex
|GO_0034272|"[""PtdIns-3-kinase complex II"", ""phosphatidylinositol 3-kinase complex II""]"|phosphatidylinositol 3-kinase complex, class III, type II
|GO_0017101|"[""aminoacyl-tRNA synthetase complex"", ""multisynthetase complex""]"|aminoacyl-tRNA synthetase multienzyme complex
|GO_0030080|"[""LH1 complex"", ""light harvesting complex I""]"|B875 antenna complex
|GO_0033185|"[""DPM synthase complex"", ""dolichyl-phosphate beta-D-mannosyltransferase complex""]"|dolichol-phosphate-mannose synthase complex
|GO_0090705||trichome papilla
|GO_0005727||extrachromosomal circular DNA
|GO_0097495||H-NS-Hha complex
|GO_0005963||magnesium-dependent protein serine/threonine phosphatase complex
|GO_0001741||XY body
|GO_0120338|"[""radial spokehead 3""]"|radial spoke head 3
|GO_0071735||IgG immunoglobulin complex
|GO_0031082|"[""BLOC-1 related complex""]"|BLOC complex
|GO_0098646|"[""collagen hexagonal network""]"|interstitial hexagonal collagen network
