go_term_id|label|pathway_name|source_id|source_type|subontology|target_id|target_type
GO:0006015|pathway_to_biological_process|5-Phosphoribose 1-diphosphate biosynthesis|R-HSA-73843|pathway|biological_process|GO_0006015|biological_process
GO:0006869|pathway_to_biological_process|ABC transporters in lipid homeostasis|R-HSA-1369062|pathway|biological_process|GO_0006869|biological_process
GO:0055085|pathway_to_biological_process|ABC-family proteins mediated transport|R-HSA-382556|pathway|biological_process|GO_0055085|biological_process
GO:0002862|pathway_to_biological_process|ADORA2B mediated anti-inflammatory cytokines production|R-HSA-9660821|pathway|biological_process|GO_0002862|biological_process
GO:0030168|pathway_to_biological_process|ADP signalling through P2Y purinoceptor 1|R-HSA-418592|pathway|biological_process|GO_0030168|biological_process
GO:0030168|pathway_to_biological_process|ADP signalling through P2Y purinoceptor 12|R-HSA-392170|pathway|biological_process|GO_0030168|biological_process
GO:0043491|pathway_to_biological_process|AKT phosphorylates targets in the cytosol|R-HSA-198323|pathway|biological_process|GO_0043491|biological_process
GO:0043491|pathway_to_biological_process|AKT phosphorylates targets in the nucleus|R-HSA-198693|pathway|biological_process|GO_0043491|biological_process
GO:2000074|pathway_to_biological_process|AKT-mediated inactivation of FOXO1A|R-HSA-211163|pathway|biological_process|GO_2000074|biological_process
GO:0042304|pathway_to_biological_process|AMPK inhibits chREBP transcriptional activation activity|R-HSA-163680|pathway|biological_process|GO_0042304|biological_process
GO:0031145|pathway_to_biological_process|APC/C-mediated degradation of cell cycle proteins|R-HSA-174143|pathway|biological_process|GO_0031145|biological_process
GO:0031145|pathway_to_biological_process|APC/C:Cdc20 mediated degradation of Cyclin B|R-HSA-174048|pathway|biological_process|GO_0031145|biological_process
GO:0031145|pathway_to_biological_process|APC/C:Cdc20 mediated degradation of Securin|R-HSA-174154|pathway|biological_process|GO_0031145|biological_process
GO:0007096|pathway_to_biological_process|APC/C:Cdc20 mediated degradation of mitotic proteins|R-HSA-176409|pathway|biological_process|GO_0007096|biological_process
GO:0036500|pathway_to_biological_process|ATF6 (ATF6-alpha) activates chaperones|R-HSA-381033|pathway|biological_process|GO_0036500|biological_process
GO:0010389|pathway_to_biological_process|AURKA Activation by TPX2|R-HSA-8854518|pathway|biological_process|GO_0010389|biological_process
GO:0006805|pathway_to_biological_process|Abacavir metabolism|R-HSA-2161541|pathway|biological_process|GO_0006805|biological_process
GO:0072530|pathway_to_biological_process|Abacavir transmembrane transport|R-HSA-2161517|pathway|biological_process|GO_0072530|biological_process
GO:0006284|pathway_to_biological_process|Abasic sugar-phosphate removal via the single-nucleotide replacement pathway|R-HSA-73930|pathway|biological_process|GO_0006284|biological_process
GO:0006103|pathway_to_biological_process|Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate|R-HSA-2978092|pathway|biological_process|GO_0006103|biological_process
GO:0006836|pathway_to_biological_process|Acetylcholine Neurotransmitter Release Cycle|R-HSA-264642|pathway|biological_process|GO_0006836|biological_process
GO:0032024|pathway_to_biological_process|Acetylcholine regulates insulin secretion|R-HSA-399997|pathway|biological_process|GO_0032024|biological_process
GO:0007340|pathway_to_biological_process|Acrosome Reaction and Sperm:Oocyte Membrane Binding|R-HSA-1300645|pathway|biological_process|GO_0007340|biological_process
GO:0046677|pathway_to_biological_process|Action of antimicrobials|R-HSA-9638771|pathway|biological_process|GO_0046677|biological_process
GO:0051897|pathway_to_biological_process|Activated NTRK2 signals through PI3K|R-HSA-9028335|pathway|biological_process|GO_0051897|biological_process
GO:0046579|pathway_to_biological_process|Activated NTRK2 signals through RAS|R-HSA-9026519|pathway|biological_process|GO_0046579|biological_process
GO:0051897|pathway_to_biological_process|Activated NTRK3 signals through PI3K|R-HSA-9603381|pathway|biological_process|GO_0051897|biological_process
GO:0051388|pathway_to_biological_process|Activated NTRK3 signals through PLCG1|R-HSA-9034793|pathway|biological_process|GO_0051388|biological_process
GO:0046579|pathway_to_biological_process|Activated NTRK3 signals through RAS|R-HSA-9034864|pathway|biological_process|GO_0046579|biological_process
GO:0060765|pathway_to_biological_process|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3|R-HSA-5625886|pathway|biological_process|GO_0060765|biological_process
GO:1901030|pathway_to_biological_process|Activation and oligomerization of BAK protein|R-HSA-111452|pathway|biological_process|GO_1901030|biological_process
GO:0051897|pathway_to_biological_process|Activation of AKT2|R-HSA-165158|pathway|biological_process|GO_0051897|biological_process
GO:0007268|pathway_to_biological_process|Activation of AMPK downstream of NMDARs|R-HSA-9619483|pathway|biological_process|GO_0007268|biological_process
GO:0006260|pathway_to_biological_process|Activation of ATR in response to replication stress|R-HSA-176187|pathway|biological_process|GO_0006260|biological_process
GO:1903749|pathway_to_biological_process|Activation of BH3-only proteins|R-HSA-114452|pathway|biological_process|GO_1903749|biological_process
GO:0007268|pathway_to_biological_process|Activation of Ca-permeable Kainate Receptor|R-HSA-451308|pathway|biological_process|GO_0007268|biological_process
GO:1901381|pathway_to_biological_process|Activation of G protein gated Potassium channels|R-HSA-1296041|pathway|biological_process|GO_1901381|biological_process
GO:0009790|pathway_to_biological_process|Activation of HOX genes during differentiation|R-HSA-5619507|pathway|biological_process|GO_0009790|biological_process
GO:0007268|pathway_to_biological_process|Activation of Na-permeable kainate receptors|R-HSA-451307|pathway|biological_process|GO_0007268|biological_process
GO:0016601|pathway_to_biological_process|Activation of RAC1|R-HSA-428540|pathway|biological_process|GO_0016601|biological_process
GO:0007268|pathway_to_biological_process|Activation of RAC1 downstream of NMDARs|R-HSA-9619229|pathway|biological_process|GO_0007268|biological_process
GO:0007265|pathway_to_biological_process|Activation of RAS in B cells|R-HSA-1169092|pathway|biological_process|GO_0007265|biological_process
GO:0007169|pathway_to_biological_process|Activation of TRKA receptors|R-HSA-187015|pathway|biological_process|GO_0007169|biological_process
GO:0097190|pathway_to_biological_process|Activation of caspases through apoptosome-mediated cleavage|R-HSA-111459|pathway|biological_process|GO_0097190|biological_process
GO:0019216|pathway_to_biological_process|Activation of gene expression by SREBF (SREBP)|R-HSA-2426168|pathway|biological_process|GO_0019216|biological_process
GO:0045944|pathway_to_biological_process|Activation of the TFAP2 (AP-2) family of transcription factors|R-HSA-8866907|pathway|biological_process|GO_0045944|biological_process
GO:0006270|pathway_to_biological_process|Activation of the pre-replicative complex|R-HSA-68962|pathway|biological_process|GO_0006270|biological_process
GO:1903749|pathway_to_biological_process|Activation, myristolyation of BID and translocation to mitochondria|R-HSA-75108|pathway|biological_process|GO_1903749|biological_process
GO:1901030|pathway_to_biological_process|Activation, translocation and oligomerization of BAX|R-HSA-114294|pathway|biological_process|GO_1901030|biological_process
GO:0035965|pathway_to_biological_process|Acyl chain remodeling of CL|R-HSA-1482798|pathway|biological_process|GO_0035965|biological_process
GO:0036155|pathway_to_biological_process|Acyl chain remodeling of DAG and TAG|R-HSA-1482883|pathway|biological_process|GO_0036155|biological_process
