label|score|source_id|source_type|target_id|target_type|taxon_id
interacts_with|0.173|P84085|protein|Q86X27|protein|9606
interacts_with|0.154|P84085|protein|Q9C0D6|protein|9606
interacts_with|0.151|P84085|protein|P36543|protein|9606
interacts_with|0.471|P84085|protein|Q99418|protein|9606
interacts_with|0.201|P84085|protein|Q9NYI0|protein|9606
interacts_with|0.18|P84085|protein|Q8N5M4|protein|9606
interacts_with|0.181|P84085|protein|P14672|protein|9606
interacts_with|0.594|P84085|protein|Q9UJY5|protein|9606
interacts_with|0.154|P84085|protein|Q96I51|protein|9606
interacts_with|0.161|P84085|protein|P62987|protein|9606
interacts_with|0.303|P84085|protein|O14653|protein|9606
interacts_with|0.168|P84085|protein|P54762|protein|9606
interacts_with|0.217|P84085|protein|Q9H8Y8|protein|9606
interacts_with|0.155|P84085|protein|Q96QD9|protein|9606
interacts_with|0.347|P84085|protein|P08581|protein|9606
interacts_with|0.197|P84085|protein|Q9H853|protein|9606
interacts_with|0.513|P84085|protein|Q7Z4S6|protein|9606
interacts_with|0.322|P84085|protein|Q00610|protein|9606
interacts_with|0.206|P84085|protein|P31689|protein|9606
interacts_with|0.227|P84085|protein|Q68CZ1|protein|9606
interacts_with|0.153|P84085|protein|Q02045|protein|9606
interacts_with|0.16|P84085|protein|P49770|protein|9606
interacts_with|0.164|P84085|protein|P56192|protein|9606
interacts_with|0.163|P84085|protein|Q92733|protein|9606
interacts_with|0.174|P84085|protein|P43405|protein|9606
interacts_with|0.201|P84085|protein|P63151|protein|9606
interacts_with|0.648|P84085|protein|Q9H0U4|protein|9606
interacts_with|0.154|P84085|protein|O75865|protein|9606
interacts_with|0.206|P84085|protein|P20290|protein|9606
interacts_with|0.501|P84085|protein|Q9BXF6|protein|9606
interacts_with|0.286|P84085|protein|P30044|protein|9606
interacts_with|0.325|P84085|protein|Q14161|protein|9606
interacts_with|0.166|P84085|protein|Q99666|protein|9606
interacts_with|0.164|P84085|protein|P62834|protein|9606
interacts_with|0.533|P84085|protein|Q96FN5|protein|9606
interacts_with|0.201|P84085|protein|P07737|protein|9606
interacts_with|0.17|P84085|protein|O95782|protein|9606
interacts_with|0.21|P84085|protein|Q96QF0|protein|9606
interacts_with|0.204|P84085|protein|P62258|protein|9606
interacts_with|0.15|P84085|protein|A0A0B4J2F2|protein|9606
interacts_with|0.224|P84085|protein|P54219|protein|9606
interacts_with|0.178|P84085|protein|P63267|protein|9606
interacts_with|0.172|P84085|protein|Q8TEY5|protein|9606
interacts_with|0.217|P84085|protein|Q3SXY8|protein|9606
interacts_with|0.322|P84085|protein|Q9BYB0|protein|9606
interacts_with|0.233|P84085|protein|P15880|protein|9606
interacts_with|0.271|P84085|protein|Q8IWJ2|protein|9606
interacts_with|0.162|P84085|protein|Q14296|protein|9606
