alternative_ids|id|synonym|term_name
|UBERON_0009669||embryonic cloacal lumen
|UBERON_0006075|"[""axial skeleton sacral region"", ""sacral skeleton"", ""sacral vertebrae series""]"|sacral region of vertebral column
|UBERON_0018346||parietal notch
|UBERON_0004139|"[""cardiac crescent"", ""cardiogenic crescent"", ""heart rudiment"", ""myocardial plate""]"|cardiogenic plate
|UBERON_3000786||fossa cubitalis ventralis
|UBERON_2101416||pelvic fin distal radial element 3
|UBERON_0000065||respiratory tract
|UBERON_2001927||anterior myodome
|UBERON_0004490|"[""atrial myocardium"", ""atrial cardiac muscle tissue"", ""atrial heart muscle"", ""cardiac atrium muscle""]"|cardiac muscle tissue of atrium
|UBERON_6005533|"[""P2 iVenEp"", ""venEpiP2""]"|insect ventral epidermis primordium
|UBERON_0001535|"[""arteria vertebralis"", ""vertebral arteries""]"|vertebral artery
|UBERON_0003725|"[""plexus cervicalis"", ""cervical nerve plexus"", ""cervical plexus"", ""plexus cervicalis""]"|cervical nerve plexus
|UBERON_8440016||noradrenergic cell group A1
|UBERON_0035261||posterior temporal artery
|UBERON_0009957|"[""pre-oral pit""]"|ciliated pit
|UBERON_0004415|"[""base of metatarsal bone"", ""basis ossis metatarsi"", ""proximal end of metatarsal bone"", ""upper end of metatarsal bone""]"|proximal epiphysis of metatarsal bone
|UBERON_0034961||embryonic lymph heart
|UBERON_0005587|"[""roof plate rhombomere 7""]"|rhombomere 7 roof plate
|UBERON_0009639|"[""corpus ossis sphenoidalis"", ""Entire body of sphenoid bone"", ""body of sphenoidal bone"", ""central body of sphenoid"", ""corpus (os sphenoidale)"", ""sphenoid body""]"|body of sphenoid
|UBERON_4200081||hypocleideum
|UBERON_0035165|"[""facies posterior (prostatae)"", ""facies posterior prostatae"", ""posterior surface of prostate gland""]"|posterior surface of prostate
|UBERON_3010741||M. ulnocarpalis
|UBERON_0006587|"[""ligament of arantius"", ""ligamentum venosum (ductus venosus)"", ""ligamentum venosum of liver"", ""ligamentum venosus""]"|ligamentum venosum
|UBERON_0036337|"[""appendix wall"", ""wall of vermiform appendix""]"|wall of appendix
|UBERON_0015057|"[""scapula element""]"|scapula endochondral element
|UBERON_0004515||smooth muscle tissue of bronchiole
|UBERON_0001206|"[""serosa of small bowel"", ""serous coat of small intestine"", ""serous membrane of small bowel"", ""serous membrane of small intestine"", ""small bowel serosa"", ""small bowel serous membrane"", ""small intestinal serosa"", ""small intestine serosa"", ""small intestine serous membrane"", ""tunica serosa (intestinum tenue)"", ""tunica serosa intestini tenuis"", ""visceral peritoneum of small intestine""]"|serosa of small intestine
|UBERON_3000873||pars cylindriformis ilei
|UBERON_2000808||myotome somite 29
|UBERON_0002280|"[""immature otolith"", ""immature otoliths"", ""otoconia"", ""otoconial crystal"", ""statoconia"", ""statolith"", ""otoconium"", ""otoliths"", ""statoconium""]"|otolith
|UBERON_0001819|"[""rima palpebrarum""]"|palpebral fissure
|UBERON_0002942|"[""nucleus ventralis posterolateralis thalami"", ""ventral posterior lateral nucleus"", ""ventral posterior lateral nucleus of dorsal thalamus"", ""ventral posterolateral nucleus of the thalamus principal part"", ""ventral posterolateral nucleus of the thalamus, general"", ""ventral posterolateral nucleus of the thalamus, principal part"", ""ventroposterior lateral thalamic nucleus"", ""ventroposterolateral nucleus of the thalamus"", ""nucleus ventralis posterior lateralis thalami"", ""nucleus ventralis posterolateralis"", ""nucleus ventralis posterolateralis thalami"", ""nucleus ventralis thalami posterior lateralis"", ""posterolateral ventral nucleus of thalamus"", ""posterolateral ventral nucleus of the thalamus"", ""ventral posterolateral nucleus of thalamus"", ""ventral posterolateral nucleus of the thalamus"", ""ventral posterolateral thalamic nucleus""]"|ventral posterolateral nucleus
|UBERON_0011977|"[""epiphysis of proximal phalanx of finger""]"|epiphysis of proximal phalanx of manus
|UBERON_0023462|"[""superficial feature part of occipital lobe""]"|superficial feature part of occipital lobe
|UBERON_0001450|"[""calcanei"", ""fibulare"", ""heel bone"", ""os tarsi fibulare"", ""calcaneal bone"", ""calcaneum"", ""calcaneus bone"", ""os calcis""]"|calcaneus
|UBERON_0007831|"[""cingulum pectorale"", ""pectoral girdle"", ""scapular girdle"", ""skeletal parts of pectoral girdle"", ""skeleton of pectoral girdle""]"|pectoral girdle skeleton
|UBERON_0009075|"[""syrinx organ wall"", ""wall of syrinx""]"|membrana tympaniformis
|UBERON_0006592||transformed vein
|UBERON_0037794||left subscapular axillary lymph node
|UBERON_2001750|"[""sixth pleural rib""]"|rib of vertebra 6
|UBERON_0005006|"[""kidney pelvis mucosa"", ""kidney pelvis mucosa of organ"", ""kidney pelvis mucous membrane"", ""kidney pelvis organ mucosa"", ""mucosa of kidney pelvis"", ""mucosa of organ of kidney pelvis"", ""mucosa of organ of pelvis of ureter"", ""mucosa of organ of renal pelvis"", ""mucosa of pelvis of ureter"", ""mucous membrane of kidney pelvis"", ""mucous membrane of pelvis of ureter"", ""mucous membrane of renal pelvis"", ""organ mucosa of kidney pelvis"", ""organ mucosa of pelvis of ureter"", ""organ mucosa of renal pelvis"", ""pelvis of ureter mucosa"", ""pelvis of ureter mucosa of organ"", ""pelvis of ureter mucous membrane"", ""pelvis of ureter organ mucosa"", ""renal pelvic mucosa"", ""renal pelvis mucosa"", ""renal pelvis mucosa of organ"", ""renal pelvis mucous membrane"", ""renal pelvis organ mucosa"", ""tunica mucosa pelvis renalis""]"|mucosa of renal pelvis
|UBERON_0009478|"[""early midgut associated mesenchyme""]"|associated mesenchyme of midgut
|UBERON_2000564||pelvic abductor profundus
|UBERON_0022364|"[""FuGo"", ""occipital fusiform gyrus (OF)"", ""occipitotemporal (fusiform) gyrus, occipital part""]"|occipital fusiform gyrus
