id|source|source_url|term_name
CHEBI_14321|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_15355|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_15377|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_15378|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_15379|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_15440|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_15734|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_16336|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_16480|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_16646|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_16796|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_16990|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_16991|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17026|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17087|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17089|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17347|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17478|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17544|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17668|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17843|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17972|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_17997|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_18059|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_18085|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
