db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003723|molecular_function|9606
"[""PMID:33961781""]"|IPI|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function|9606
"[""GO_REF:0000003""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0008486|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016462|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016787|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function|9606
"[""GO_REF:0000117""]"|IEA|enables|"[""enables""]"|GOA|A0A075B734|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0015250|molecular_function|9606
"[""GO_REF:0000117""]"|IEA|enables|"[""enables""]"|GOA|A0A075B734|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0015254|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A075B734|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0015267|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A075B759|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003755|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A075B759|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016853|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A075B767|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003755|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A075B767|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016853|molecular_function|9606
"[""PMID:21081917""]"|IPI|enables|"[""enables""]"|GOA|A0A087WT01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function|9606
"[""GO_REF:0000117""]"|IEA|enables|"[""enables""]"|GOA|A0A087WUV0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0001227|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087WUV0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0008270|molecular_function|9606
"[""GO_REF:0000117""]"|IEA|enables|"[""enables""]"|GOA|A0A087WUV0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0043565|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087WUV0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087WVF3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005096|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087WXS9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005096|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087X179|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005096|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004497|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005506|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016491|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016705|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016712|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0020037|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function|9606
"[""PMID:15051713""]"|IDA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0070330|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1G2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005096|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LNW5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005509|molecular_function|9606
"[""PMID:37009826""]"|IPI|enables|"[""enables""]"|GOA|A0A096LP01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function|9606
"[""PMID:37009826""]"|IPI|enables|"[""enables""]"|GOA|A0A096LP01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019901|molecular_function|9606
"[""PMID:37009826""]"|IPI|enables|"[""enables""]"|GOA|A0A096LP01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0044325|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LP49|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0008017|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LPK9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004930|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LPK9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004984|molecular_function|9606
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GOA|A0A0A6YYK7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042287|molecular_function|9606
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GOA|A0A0A6YYK7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042605|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A0B4J2A2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003755|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A0B4J2A2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016853|molecular_function|9606
"[""PMID:31653868""]"|IPI|enables|"[""enables""]"|GOA|A0A0B4J2F0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A0C5B5G6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003677|molecular_function|9606
"[""PMID:29983246""]"|IPI|enables|"[""enables""]"|GOA|A0A0C5B5G6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0140297|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A0G2JLG4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005272|molecular_function|9606
"[""GO_REF:0000117""]"|IEA|enables|"[""enables""]"|GOA|A0A0G2JMD5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_1990756|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A0G2JMH3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0000166|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A0G2JMH3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003924|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A0G2JMH3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005525|molecular_function|9606
