alternative_ids|id|source|source_url|synonym|term_name
|GO_2000268|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||positive regulation of blood coagulation, intrinsic pathway
|GO_0045668|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""down regulation of osteoblast differentiation"", ""down-regulation of osteoblast differentiation"", ""downregulation of osteoblast differentiation""]"|negative regulation of osteoblast differentiation
"[""GO:0071843""]"|GO_0044085|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""cellular component biogenesis at cellular level""]"|cellular component biogenesis
|GO_0006851|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""mitochondrial calcium transport""]"|mitochondrial calcium ion transmembrane transport
|GO_0042885|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||microcin B17 transport
|GO_0043179|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||rhythmic excitation
|GO_1903587|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of blood vessel endothelial cell proliferation during sprouting angiogenesis""]"|regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
|GO_0002487|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""endogenous peptide antigen processing and presentation via MHC class I via endolysosomal pathway""]"|antigen processing and presentation of endogenous peptide antigen via MHC class I via endolysosomal pathway
|GO_0048638|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of developmental growth
|GO_0070474|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of myometrial contraction"", ""positive regulation of myometrial smooth muscle contraction"", ""positive regulation of myometrium contraction"", ""up regulation of uterine smooth muscle contraction"", ""up-regulation of uterine smooth muscle contraction"", ""upregulation of uterine smooth muscle contraction""]"|positive regulation of uterine smooth muscle contraction
|GO_0062149|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||detection of stimulus involved in sensory perception of pain
|GO_0015829|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||valine transport
|GO_0097722|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""sperm movement""]"|sperm motility
|GO_0000956|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""nuclear mRNA breakdown"", ""nuclear mRNA catabolism"", ""nuclear mRNA degradation""]"|nuclear-transcribed mRNA catabolic process
|GO_1904918|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""transmembrane L-histidine transport from lysosomal lumen to cytosol""]"|L-histidine transmembrane transport from lysosomal lumen to cytosol
|GO_0141087|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of inflammasome-mediated signal transduction""]"|positive regulation of inflammasome-mediated signaling pathway
"[""GO:2001202""]"|GO_0071635|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""negative regulation of TGF-B production"", ""negative regulation of TGF-beta production"", ""negative regulation of TGFB production"", ""negative regulation of TGFbeta production"", ""negative regulation of transforming growth factor-beta production""]"|negative regulation of transforming growth factor beta production
|GO_0030225|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""macrophage cell differentiation""]"|macrophage differentiation
"[""GO:0000218"", ""GO:0030462""]"|GO_0000755|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""zygote formation""]"|cytogamy
|GO_0002834|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of response to tumour cell""]"|regulation of response to tumor cell
|GO_1901554|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""response to acetaminophen""]"|response to paracetamol
|GO_0051523|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||cell growth mode switching, monopolar to bipolar
|GO_0034085|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||establishment of sister chromatid cohesion
|GO_0035124|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||embryonic caudal fin morphogenesis
|GO_0034240|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||negative regulation of macrophage fusion
|GO_0003355|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||cilium movement involved in otolith formation
|GO_0080148|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||negative regulation of response to water deprivation
|GO_1901301|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of COPII coat-cargo complex assembly"", ""regulation of cargo loading into COPII vesicle"", ""regulation of cargo selection into COPII-coated vesicle""]"|regulation of cargo loading into COPII-coated vesicle
