alternative_ids|id|source|source_url|synonym|term_name
|GO_0045495|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""polar plasm""]"|pole plasm
|GO_1990811|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""Msd1-Wdr8-Pkl1 complex""]"|MWP complex
"[""GO:0009928"", ""GO:0009929""]"|GO_0009986|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""cell associated"", ""cell bound""]"|cell surface
|GO_0009360|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""DNA polymerase III holoenzyme complex""]"|DNA polymerase III complex
|GO_0030232|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ICE activator complex""]"|insulin control element activator complex
|GO_1990620|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""NPR1 receptor complex""]"|ANPR-A receptor complex
|GO_0042827|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""bulls eye body"", ""platelet dense body""]"|platelet dense granule
|GO_0009321|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||alkyl hydroperoxide reductase complex
|GO_0072559|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""NALP3 inflammasome complex""]"|NLRP3 inflammasome complex
|GO_0140451|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||counting factor complex
|GO_0033186|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""chromatin assembly factor 1 complex""]"|CAF-1 complex
|GO_0032165|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||prospore septin filament array
|GO_0070310|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||ATR-ATRIP complex
|GO_0140918|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""centrosome core""]"|centrosomal core
|GO_0034206|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||enhanceosome
|GO_0071193|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||Kv4.2-KChIP2 channel complex
