alternative_ids|id|source|source_url|synonym|term_name
|GO_1905055|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""calcium ion antiporter activity involved in regulation of presynaptic cytosolic calcium levels""]"|calcium:monoatomic cation antiporter activity involved in regulation of presynaptic cytosolic calcium ion concentration
|GO_0019869|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||chloride channel inhibitor activity
|GO_0004409|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate hydro-lyase [(Z)-but-1-ene-1,2,4-tricarboxylate-forming]"", ""2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase activity"", ""HACN activity"", ""Lys4"", ""LysF"", ""cis-homoaconitase activity"", ""homoaconitase activity""]"|homoaconitate hydratase activity
|GO_0004801|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity""]"|transaldolase activity
|GO_0031851|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""dynorphin receptor binding""]"|kappa-type opioid receptor binding
|GO_0102013|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""L-glutamate-importing ATPase activity""]"|ATPase-coupled L-glutamate tranmembrane transporter activity
|GO_0051908|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""double-stranded DNA specific 5-3 exodeoxyribonuclease activity"", ""double-stranded DNA 5-3 exodeoxyribonuclease activity""]"|double-stranded DNA 5-3 DNA exonuclease activity
|GO_0080007|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||S-nitrosoglutathione reductase (NADH) activity
|GO_1903089|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""acadesine transporter activity""]"|5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transporter activity
|GO_0140912|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||membrane destabilizing activity
|GO_0047800|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""2-aminoethanethiol:oxygen oxidoreductase activity"", ""cysteamine oxygenase activity"", ""cysteamine:oxygen oxidoreductase activity"", ""persulfurase activity""]"|cysteamine dioxygenase activity
|GO_0072533|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||tri-(coumaroyl or caffeoyl) spermidine meta-hydroxylase activity
|GO_0052822|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||DNA-3-methylguanine glycosylase activity
|GO_0047021|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate:NADP+ 15-oxidoreductase activity"", ""type II 15-hydroxyprostaglandin dehydrogenase activity""]"|15-hydroxyprostaglandin dehydrogenase (NADP+) activity
|GO_0003824|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""enzyme activity""]"|catalytic activity
|GO_0042283|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase activity""]"|dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity
|GO_0140844|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""NAD+-histone H2B-E2 glutamate ADP-ribosyltransferase activity"", ""NAD+-histone-glutamate ADP-ribosyltransferase activity (H2B-E2 specific)""]"|NAD+-histone H2BE2 glutamate ADP-ribosyltransferase activity
|GO_0030763|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""S-adenosyl-L-methionine:2-methylpropanal-oxime O-methyltransferase activity"", ""S-adenosylmethionine:aldoxime O-methyltransferase activity"", ""aldoxime O-methyltransferase activity"", ""aldoxime methyltransferase activity""]"|isobutyraldoxime O-methyltransferase activity
|GO_0062213|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||peroxynitrite isomerase activity
|GO_0008174|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||mRNA methyltransferase activity
|GO_0035500|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""MAD homology 2 domain binding""]"|MH2 domain binding
|GO_0047404|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""3-D-glucuronsyl-2-N,6-disulfo-beta-D-glucosamine glucuronohydrolase activity"", ""3-D-glucuronsyl-N2,6-disulfo-beta-D-glucosamine glucuronohydrolase activity"", ""glucuronosyl-disulphoglucosamine glucuronidase activity""]"|glucuronosyl-disulfoglucosamine glucuronidase activity
