label|score|source|source_id|source_type|source_url|target_id|target_type|taxon_id
interacts_with|0.173|STRING|P84085|protein|https://string-db.org/|Q86X27|protein|9606
interacts_with|0.154|STRING|P84085|protein|https://string-db.org/|Q9C0D6|protein|9606
interacts_with|0.151|STRING|P84085|protein|https://string-db.org/|P36543|protein|9606
interacts_with|0.471|STRING|P84085|protein|https://string-db.org/|Q99418|protein|9606
interacts_with|0.201|STRING|P84085|protein|https://string-db.org/|Q9NYI0|protein|9606
interacts_with|0.18|STRING|P84085|protein|https://string-db.org/|Q8N5M4|protein|9606
interacts_with|0.181|STRING|P84085|protein|https://string-db.org/|P14672|protein|9606
interacts_with|0.594|STRING|P84085|protein|https://string-db.org/|Q9UJY5|protein|9606
interacts_with|0.154|STRING|P84085|protein|https://string-db.org/|Q96I51|protein|9606
interacts_with|0.161|STRING|P84085|protein|https://string-db.org/|P62987|protein|9606
interacts_with|0.303|STRING|P84085|protein|https://string-db.org/|O14653|protein|9606
interacts_with|0.168|STRING|P84085|protein|https://string-db.org/|P54762|protein|9606
interacts_with|0.217|STRING|P84085|protein|https://string-db.org/|Q9H8Y8|protein|9606
interacts_with|0.155|STRING|P84085|protein|https://string-db.org/|Q96QD9|protein|9606
interacts_with|0.347|STRING|P84085|protein|https://string-db.org/|P08581|protein|9606
interacts_with|0.197|STRING|P84085|protein|https://string-db.org/|Q9H853|protein|9606
interacts_with|0.513|STRING|P84085|protein|https://string-db.org/|Q7Z4S6|protein|9606
interacts_with|0.322|STRING|P84085|protein|https://string-db.org/|Q00610|protein|9606
interacts_with|0.206|STRING|P84085|protein|https://string-db.org/|P31689|protein|9606
interacts_with|0.227|STRING|P84085|protein|https://string-db.org/|Q68CZ1|protein|9606
interacts_with|0.153|STRING|P84085|protein|https://string-db.org/|Q02045|protein|9606
interacts_with|0.16|STRING|P84085|protein|https://string-db.org/|P49770|protein|9606
interacts_with|0.164|STRING|P84085|protein|https://string-db.org/|P56192|protein|9606
interacts_with|0.163|STRING|P84085|protein|https://string-db.org/|Q92733|protein|9606
interacts_with|0.174|STRING|P84085|protein|https://string-db.org/|P43405|protein|9606
interacts_with|0.201|STRING|P84085|protein|https://string-db.org/|P63151|protein|9606
interacts_with|0.648|STRING|P84085|protein|https://string-db.org/|Q9H0U4|protein|9606
interacts_with|0.154|STRING|P84085|protein|https://string-db.org/|O75865|protein|9606
interacts_with|0.206|STRING|P84085|protein|https://string-db.org/|P20290|protein|9606
interacts_with|0.501|STRING|P84085|protein|https://string-db.org/|Q9BXF6|protein|9606
interacts_with|0.286|STRING|P84085|protein|https://string-db.org/|P30044|protein|9606
interacts_with|0.325|STRING|P84085|protein|https://string-db.org/|Q14161|protein|9606
interacts_with|0.164|STRING|P84085|protein|https://string-db.org/|P62834|protein|9606
interacts_with|0.533|STRING|P84085|protein|https://string-db.org/|Q96FN5|protein|9606
interacts_with|0.201|STRING|P84085|protein|https://string-db.org/|P07737|protein|9606
interacts_with|0.17|STRING|P84085|protein|https://string-db.org/|O95782|protein|9606
interacts_with|0.21|STRING|P84085|protein|https://string-db.org/|Q96QF0|protein|9606
interacts_with|0.204|STRING|P84085|protein|https://string-db.org/|P62258|protein|9606
interacts_with|0.224|STRING|P84085|protein|https://string-db.org/|P54219|protein|9606
interacts_with|0.178|STRING|P84085|protein|https://string-db.org/|P63267|protein|9606
interacts_with|0.172|STRING|P84085|protein|https://string-db.org/|Q8TEY5|protein|9606
interacts_with|0.217|STRING|P84085|protein|https://string-db.org/|Q3SXY8|protein|9606
interacts_with|0.322|STRING|P84085|protein|https://string-db.org/|Q9BYB0|protein|9606
interacts_with|0.233|STRING|P84085|protein|https://string-db.org/|P15880|protein|9606
interacts_with|0.271|STRING|P84085|protein|https://string-db.org/|Q8IWJ2|protein|9606
interacts_with|0.162|STRING|P84085|protein|https://string-db.org/|Q14296|protein|9606
