source	target	score
ENSG00000121410	ENSG00000268895	17.69
ENSG00000121410	ENSG00000174586	7.99
ENSG00000121410	ENSG00000105404	5.95
ENSG00000121410	ENSG00000125652	5.24
ENSG00000121410	ENSG00000105472	4.71
ENSG00000121410	ENSG00000179085	4.59
ENSG00000121410	ENSG00000205544	4.54
ENSG00000121410	ENSG00000152082	4.49
ENSG00000121410	ENSG00000198832	4.29
ENSG00000121410	ENSG00000167397	4.26
ENSG00000121410	ENSG00000125995	4.18
ENSG00000121410	ENSG00000171222	4.17
ENSG00000121410	ENSG00000103024	4.15
ENSG00000121410	ENSG00000161031	4.03
ENSG00000121410	ENSG00000104863	3.96
ENSG00000121410	ENSG00000269293	3.86
ENSG00000121410	ENSG00000182154	3.84
ENSG00000121410	ENSG00000130332	3.80
ENSG00000121410	ENSG00000130748	3.74
ENSG00000121410	ENSG00000006015	3.72
ENSG00000121410	ENSG00000142694	3.72
ENSG00000121410	ENSG00000221821	3.72
ENSG00000121410	ENSG00000181029	3.65
ENSG00000121410	ENSG00000196507	3.64
ENSG00000121410	ENSG00000148832	3.62
ENSG00000121410	ENSG00000173581	3.62
ENSG00000121410	ENSG00000161677	3.60
ENSG00000121410	ENSG00000148803	3.58
ENSG00000121410	ENSG00000204822	3.56
ENSG00000121410	ENSG00000184990	3.55
ENSG00000121410	ENSG00000103254	3.54
ENSG00000121410	ENSG00000107872	3.53
ENSG00000121410	ENSG00000160284	3.52
ENSG00000121410	ENSG00000141504	3.50
ENSG00000121410	ENSG00000235034	3.48
ENSG00000121410	ENSG00000119632	3.48
ENSG00000121410	ENSG00000141933	3.48
ENSG00000121410	ENSG00000211450	3.46
ENSG00000121410	ENSG00000234327	3.44
ENSG00000121410	ENSG00000172663	3.43
ENSG00000121410	ENSG00000131187	3.42
ENSG00000121410	ENSG00000090661	3.42
ENSG00000121410	ENSG00000127540	3.41
ENSG00000121410	ENSG00000159761	3.39
ENSG00000121410	ENSG00000002330	3.39
ENSG00000121410	ENSG00000126264	3.37
ENSG00000121410	ENSG00000180879	3.36
ENSG00000121410	ENSG00000106400	3.35
ENSG00000121410	ENSG00000260260	3.33
ENSG00000121410	ENSG00000162910	3.31
ENSG00000121410	ENSG00000255198	3.30
ENSG00000121410	ENSG00000187186	3.29
ENSG00000121410	ENSG00000182165	3.26
ENSG00000121410	ENSG00000172428	3.25
ENSG00000121410	ENSG00000087076	3.24
ENSG00000121410	ENSG00000126246	3.23
ENSG00000121410	ENSG00000130731	3.23
ENSG00000121410	ENSG00000233927	3.22
ENSG00000121410	ENSG00000159884	3.22
ENSG00000121410	ENSG00000130304	3.21
ENSG00000121410	ENSG00000086619	3.20
ENSG00000121410	ENSG00000167543	3.20
ENSG00000121410	ENSG00000184986	3.19
ENSG00000121410	ENSG00000260081	3.19
ENSG00000121410	ENSG00000171425	3.19
ENSG00000121410	ENSG00000130005	3.18
ENSG00000121410	ENSG00000225663	3.16
ENSG00000121410	ENSG00000090971	3.15
ENSG00000121410	ENSG00000115268	3.14
ENSG00000121410	ENSG00000170430	3.12
ENSG00000121410	ENSG00000165233	3.12
ENSG00000121410	ENSG00000106803	3.11
ENSG00000121410	ENSG00000166130	3.10
ENSG00000121410	ENSG00000141505	3.06
ENSG00000121410	ENSG00000272523	3.06
ENSG00000121410	ENSG00000080910	3.04
ENSG00000121410	ENSG00000092096	3.03
ENSG00000121410	ENSG00000095906	3.03
ENSG00000121410	ENSG00000204237	3.02
ENSG00000121410	ENSG00000175602	3.02
ENSG00000121410	ENSG00000083845	3.01
ENSG00000121410	ENSG00000171858	3.01
ENSG00000121410	ENSG00000105755	3.00
ENSG00000121410	ENSG00000141552	2.99
ENSG00000121410	ENSG00000103253	2.99
ENSG00000121410	ENSG00000130812	2.98
ENSG00000121410	ENSG00000218891	2.98
ENSG00000121410	ENSG00000105619	2.97
ENSG00000121410	ENSG00000253982	2.96
ENSG00000121410	ENSG00000162076	2.96
ENSG00000121410	ENSG00000205138	2.96
ENSG00000121410	ENSG00000111678	2.96
ENSG00000121410	ENSG00000149806	2.95
ENSG00000121410	ENSG00000253716	2.95
ENSG00000121410	ENSG00000177600	2.94
ENSG00000121410	ENSG00000108479	2.94
ENSG00000121410	ENSG00000175701	2.94
ENSG00000121410	ENSG00000171703	2.93
ENSG00000121410	ENSG00000219665	2.93
ENSG00000121410	ENSG00000103363	2.93
ENSG00000121410	ENSG00000235453	2.92
ENSG00000121410	ENSG00000182712	2.92
ENSG00000121410	ENSG00000228474	2.91
ENSG00000121410	ENSG00000137818	2.91
ENSG00000121410	ENSG00000197982	2.91
ENSG00000121410	ENSG00000110011	2.90
ENSG00000121410	ENSG00000172366	2.90
ENSG00000121410	ENSG00000090932	2.89
ENSG00000121410	ENSG00000204387	2.89
ENSG00000121410	ENSG00000109083	2.89
ENSG00000121410	ENSG00000112514	2.87
ENSG00000121410	ENSG00000072818	2.86
ENSG00000121410	ENSG00000205078	2.86
ENSG00000121410	ENSG00000063177	2.86
ENSG00000121410	ENSG00000104979	2.86
ENSG00000121410	ENSG00000160282	2.84
ENSG00000121410	ENSG00000167526	2.84
ENSG00000121410	ENSG00000225828	2.83
ENSG00000121410	ENSG00000105372	2.82
ENSG00000121410	ENSG00000269893	2.82
ENSG00000121410	ENSG00000059915	2.82
ENSG00000121410	ENSG00000173272	2.81
ENSG00000121410	ENSG00000214063	2.80
ENSG00000121410	ENSG00000117691	2.79
ENSG00000121410	ENSG00000169733	2.79
ENSG00000121410	ENSG00000196976	2.77
ENSG00000121410	ENSG00000101981	2.77
ENSG00000121410	ENSG00000188243	2.77
ENSG00000121410	ENSG00000240972	2.77
ENSG00000121410	ENSG00000167733	2.76
ENSG00000121410	ENSG00000176978	2.76
ENSG00000121410	ENSG00000214530	2.76
ENSG00000121410	ENSG00000115486	2.75
ENSG00000121410	ENSG00000011478	2.75
ENSG00000121410	ENSG00000171159	2.75
ENSG00000121410	ENSG00000173141	2.74
ENSG00000121410	ENSG00000072080	2.74
ENSG00000121410	ENSG00000187051	2.73
ENSG00000121410	ENSG00000224877	2.72
ENSG00000121410	ENSG00000235169	2.71
ENSG00000121410	ENSG00000144815	2.71
ENSG00000121410	ENSG00000261824	2.71
ENSG00000121410	ENSG00000286190	2.71
ENSG00000121410	ENSG00000173992	2.70
ENSG00000121410	ENSG00000120784	2.70
ENSG00000121410	ENSG00000109475	2.70
ENSG00000121410	ENSG00000067445	2.69
ENSG00000121410	ENSG00000198816	2.68
ENSG00000121410	ENSG00000213741	2.68
ENSG00000121410	ENSG00000130255	2.68
ENSG00000121410	ENSG00000176533	2.67
ENSG00000121410	ENSG00000124243	2.67
ENSG00000121410	ENSG00000160469	2.67
ENSG00000121410	ENSG00000256060	2.67
ENSG00000121410	ENSG00000142227	2.67
ENSG00000121410	ENSG00000198258	2.66
ENSG00000121410	ENSG00000120742	2.66
ENSG00000121410	ENSG00000228300	2.65
ENSG00000121410	ENSG00000141698	2.65
ENSG00000121410	ENSG00000130312	2.65
ENSG00000121410	ENSG00000103260	2.64
ENSG00000121410	ENSG00000174886	2.63
ENSG00000121410	ENSG00000203875	2.62
ENSG00000121410	ENSG00000147123	2.61
