##fileformat=VCFv4.1
##fileDate=20250910
##reference=GCF_000001405.40
##ALT=<ID=<CNV>,Description="Copy number variable region">
##ALT=<ID=<DEL>,Description="Deletion relative to the reference">
##ALT=<ID=<DUP>,Description="Region of elevated copy number relative to the reference">
##ALT=<ID=<INS>,Description="Insertion of sequence relative to the reference">
##ALT=<ID=<INV>,Description="Inversion of reference sequence">
##INFO=<ID=DBVARID,Number=1,Type=String,Description="ID of this element in dbVar">
##INFO=<ID=CIEND,Number=2,Type=Integer,Description="Confidence interval around END for imprecise variants">
##INFO=<ID=CIPOS,Number=2,Type=Integer,Description="Confidence interval around POS for imprecise variants">
##INFO=<ID=DESC,Number=1,Type=String,Description="Any additional information about this call (free text, enclose in double quotes)">
##INFO=<ID=END,Number=1,Type=Integer,Description="End position of the variant described in this record">
##INFO=<ID=IMPRECISE,Number=0,Type=Flag,Description="Imprecise structural variation">
##INFO=<ID=SVTYPE,Number=1,Type=String,Description="Type of structural variant">
##INFO=<ID=SVLEN,Number=.,Type=String,Description="Difference in length between REF and ALT alleles">
##INFO=<ID=CHR2,Number=1,Type=String,Description="Second (To) Chromosome in a translocation pair">
##INFO=<ID=REGIONID,Number=.,Type=String,Description="The parent variant region accession(s)">
##INFO=<ID=EXPERIMENT,Number=1,Type=Integer,Description="The experiment_id (from EXPERIMENTS tab) of the experiment that was used to generate this call">
##INFO=<ID=EVENT,Number=.,Type=String,Description="The parent variant region accession of a mutation event">
##INFO=<ID=LINKS,Number=.,Type=String,Description="Link(s) to external database(s) - see LINKS tab of dbVar submission template for examples">
##INFO=<ID=CLNSIG,Number=.,Type=String,Description="Clinical significance for this single variant">
##INFO=<ID=CLNACC,Number=.,Type=String,Description="Accessions and version numbers assigned by ClinVar">
##INFO=<ID=clinical_source,Number=1,Type=String,Description="Source of clinical significance">
##INFO=<ID=SOMATIC,Number=0,Type=Flag,Description="Indicates that the record is a somatic mutation. NOT for clinical assertions, i.e. cancer. See also ORIGIN.">
##INFO=<ID=ORIGIN,Number=1,Type=String,Description="Origin of allele, if known; should be one of (biparental, de novo, germline, inherited, maternal, not applicable, not provided, not-reported, paternal, tested-inconclusive, uniparental, unknown, see ClinVar for details). See also SOMATIC">
##INFO=<ID=PHENO,Number=.,Type=String,Description="Phenotype(s) thought to associated with this call. NOT for clinical assertions (submit to ClinVar). (free text, enclose in double quotes)">
##INFO=<ID=SAMPLE,Number=1,Type=String,Description="sample_id from dbVar submission; every call must have SAMPLE or SAMPLESET, but NOT BOTH">
##INFO=<ID=SAMPLESET,Number=1,Type=Integer,Description="sampleset_id from dbVar submission; every call must have SAMPLESET or SAMPLE but NOT BOTH">
##INFO=<ID=VALIDATED,Number=0,Type=Flag,Description="Validated by follow-up experiment">
##INFO=<ID=SEQ,Number=1,Type=String,Description="Variation sequence">
##INFO=<ID=AC,Number=.,Type=Integer,Description="Global Allele count">
##INFO=<ID=AF,Number=.,Type=Float,Description="Global Allele frequency">
##INFO=<ID=AN,Number=.,Type=String,Description="Global Allele name">
#CHROM	POS	ID	REF	ALT	QUAL	FILTER	INFO
1	10000	nssv16889290	N	<DUP>	.	.	DBVARID=nssv16889290;SVTYPE=DUP;END=52000;SVLEN=42001;EXPERIMENT=1;SAMPLESET=1;REGIONID=nsv6138160;AC=1453;AF=0.241208;AN=6026
1	10001	nssv14768	T	<DUP>	.	.	DBVARID=nssv14768;SVTYPE=DUP;IMPRECISE;END=88143;CIPOS=0,0;CIEND=0,0;SVLEN=78143;EXPERIMENT=1;SAMPLE=NA12155;REGIONID=nsv7879
1	10001	nssv14781	T	<DUP>	.	.	DBVARID=nssv14781;SVTYPE=DUP;IMPRECISE;END=82189;CIPOS=0,0;CIEND=0,0;SVLEN=72189;EXPERIMENT=1;SAMPLE=NA18860;REGIONID=nsv7879
1	10001	nssv14784	T	<DUP>	.	.	DBVARID=nssv14784;SVTYPE=DUP;IMPRECISE;END=87466;CIPOS=0,0;CIEND=0,0;SVLEN=77466;EXPERIMENT=1;SAMPLE=NA18975;REGIONID=nsv7879
1	10001	nssv14790	T	<DUP>	.	.	DBVARID=nssv14790;SVTYPE=DUP;IMPRECISE;END=88143;CIPOS=0,0;CIEND=0,0;SVLEN=78143;EXPERIMENT=1;SAMPLE=NA19221;REGIONID=nsv7879
1	10001	nssv1529569	T	<DUP>	.	.	DBVARID=nssv1529569;SVTYPE=DUP;IMPRECISE;END=297968;CIPOS=0,0;CIEND=0,.;SVLEN=287968;EXPERIMENT=1;SAMPLE=SP58241;REGIONID=nsv870619
1	10001	nssv15707761	T	<DUP>	.	.	DBVARID=nssv15707761;SVTYPE=DUP;IMPRECISE;END=127330;CIPOS=0,3513;CIEND=-36156,0;SVLEN=117330;EXPERIMENT=1;SAMPLESET=1;LINKS=DGV:gssvG13,dbVar:essv33662,dbVar:essv36301,dbVar:essv42378,dbVar:essv43633,dbVar:essv44330,dbVar:essv45662,dbVar:essv47291,dbVar:essv53480,dbVar:essv55201,dbVar:essv57788,dbVar:essv59014,dbVar:essv63480,dbVar:essv65410,dbVar:essv66858,dbVar:essv68486,dbVar:essv75141,dbVar:essv76745,dbVar:essv83994,dbVar:nssv14762,dbVar:nssv14768,dbVar:nssv14770,dbVar:nssv14776,dbVar:nssv14780,dbVar:nssv14784,dbVar:nssv14788,dbVar:nssv14789,dbVar:nssv14790,dbVar:nssv18103,dbVar:nssv18113,dbVar:nssv18117;REGIONID=nsv4398922
1	10001	nssv15707940	T	<DUP>	.	.	DBVARID=nssv15707940;SVTYPE=DUP;IMPRECISE;END=82189;CIPOS=0,442;CIEND=-1378,0;SVLEN=72189;EXPERIMENT=1;SAMPLESET=1;LINKS=DGV:gssvG19,dbVar:essv36569,dbVar:essv48828,dbVar:essv56500,dbVar:essv61349,dbVar:essv75636,dbVar:essv77852,dbVar:essv78929,dbVar:essv82243,dbVar:nssv14766,dbVar:nssv14771,dbVar:nssv14775,dbVar:nssv14781,dbVar:nssv14791;REGIONID=nsv4409157
1	10001	nssv1601260	T	<DUP>	.	.	DBVARID=nssv1601260;SVTYPE=DUP;IMPRECISE;END=782105;CIPOS=0,0;CIEND=0,0;SVLEN=772105;EXPERIMENT=1;SAMPLE=IS30771;REGIONID=nsv871113
1	10001	nssv1601261	T	<DUP>	.	.	DBVARID=nssv1601261;SVTYPE=DUP;IMPRECISE;END=782105;CIPOS=0,0;CIEND=0,0;SVLEN=772105;EXPERIMENT=1;SAMPLE=IS41043;REGIONID=nsv871113
