chr|end|id|source|source_url|start
chr1|1350000|CHR1_800000_1350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|800000
chr1|1950000|CHR1_1350000_1950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|1350000
chr1|3850000|CHR1_1950000_3850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|1950000
chr1|6000000|CHR1_3950000_6000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|3950000
chr1|6450000|CHR1_6000000_6450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|6000000
chr1|7950000|CHR1_6450000_7950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|6450000
chr1|8400000|CHR1_7950000_8400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|7950000
chr1|8850000|CHR1_8400000_8850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|8400000
chr1|9550000|CHR1_8900000_9550000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|8900000
chr1|10500000|CHR1_9600000_10500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|9600000
chr1|11000000|CHR1_10500000_11000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|10500000
chr1|12050000|CHR1_11000000_12050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|11000000
chr1|12700000|CHR1_12250000_12700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|12250000
chr1|15500000|CHR1_13450000_15500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|13450000
chr1|16500000|CHR1_15550000_16500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|15550000
chr1|17400000|CHR1_17050000_17400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|17050000
chr1|18850000|CHR1_17450000_18850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|17450000
chr1|19250000|CHR1_18900000_19250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|18900000
chr1|19700000|CHR1_19250000_19700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|19250000
chr1|19900000|CHR1_19700000_19900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|19700000
chr1|20700000|CHR1_19900000_20700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|19900000
chr1|21200000|CHR1_20700000_21200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|20700000
chr1|21700000|CHR1_21250000_21700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|21250000
chr1|22050000|CHR1_21700000_22050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|21700000
chr1|22700000|CHR1_22100000_22700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|22100000
chr1|22950000|CHR1_22700000_22950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|22700000
chr1|23800000|CHR1_23000000_23800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|23000000
chr1|24050000|CHR1_23800000_24050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|23800000
chr1|24450000|CHR1_24050000_24450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|24050000
chr1|24650000|CHR1_24450000_24650000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|24450000
chr1|24900000|CHR1_24650000_24900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|24650000
chr1|25250000|CHR1_24900000_25250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|24900000
chr1|25850000|CHR1_25250000_25850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|25250000
chr1|26450000|CHR1_25850000_26450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|25850000
chr1|26900000|CHR1_26500000_26900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|26500000
chr1|27750000|CHR1_26950000_27750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|26950000
chr1|28800000|CHR1_27850000_28800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|27850000
chr1|29200000|CHR1_28800000_29200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|28800000
chr1|30950000|CHR1_30750000_30950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|30750000
chr1|31650000|CHR1_30950000_31650000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|30950000
chr1|32200000|CHR1_31650000_32200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|31650000
chr1|32450000|CHR1_32200000_32450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|32200000
chr1|32900000|CHR1_32450000_32900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|32450000
chr1|33100000|CHR1_32900000_33100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|32900000
chr1|33500000|CHR1_33100000_33500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|33100000
chr1|34800000|CHR1_33500000_34800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|33500000
chr1|35850000|CHR1_34800000_35850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|34800000
chr1|36050000|CHR1_35850000_36050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|35850000
chr1|36450000|CHR1_36100000_36450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|36100000
chr1|37450000|CHR1_36450000_37450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|36450000
chr1|37750000|CHR1_37450000_37750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|37450000
chr1|39000000|CHR1_37950000_39000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|37950000
chr1|39800000|CHR1_39100000_39800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|39100000
chr1|40050000|CHR1_39800000_40050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|39800000
chr1|40500000|CHR1_40050000_40500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|40050000
chr1|41000000|CHR1_40600000_41000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|40600000
chr1|42800000|CHR1_41000000_42800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|41000000
chr1|43200000|CHR1_42800000_43200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|42800000
chr1|44100000|CHR1_43200000_44100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|43200000
chr1|44700000|CHR1_44100000_44700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|44100000
chr1|45550000|CHR1_44700000_45550000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|44700000
chr1|46400000|CHR1_45600000_46400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|45600000
chr1|47400000|CHR1_46400000_47400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|46400000
