chr|end|exon_id|exon_number|gene_id|id|source|source_url|start|transcript_id
chr1|11211|ENSE00004248723|1|ENSEMBL:ENSG00000290825|ENSE00004248723|GENCODE|https://www.gencodegenes.org/human/|11121|ENSEMBL:ENST00000832824
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832824
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832824
chr1|14413|ENSE00004248730|4|ENSEMBL:ENSG00000290825|ENSE00004248730|GENCODE|https://www.gencodegenes.org/human/|13453|ENSEMBL:ENST00000832824
chr1|11211|ENSE00004248721|1|ENSEMBL:ENSG00000290825|ENSE00004248721|GENCODE|https://www.gencodegenes.org/human/|11125|ENSEMBL:ENST00000832825
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832825
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832825
chr1|14405|ENSE00004248720|4|ENSEMBL:ENSG00000290825|ENSE00004248720|GENCODE|https://www.gencodegenes.org/human/|13403|ENSEMBL:ENST00000832825
chr1|11671|ENSE00004248726|1|ENSEMBL:ENSG00000290825|ENSE00004248726|GENCODE|https://www.gencodegenes.org/human/|11410|ENSEMBL:ENST00000832826
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832826
chr1|12721|ENSE00004248693|3|ENSEMBL:ENSG00000290825|ENSE00004248693|GENCODE|https://www.gencodegenes.org/human/|12595|ENSEMBL:ENST00000832826
chr1|14413|ENSE00004248694|4|ENSEMBL:ENSG00000290825|ENSE00004248694|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832826
