label|source_id|source_type|target_id|target_type
part_of|ENSE00003875467|exon|ENSG00000286740|gene
part_of|ENSE00003883630|exon|ENSG00000286740|gene
part_of|ENSE00001673273|exon|ENSG00000232738|gene
part_of|ENSE00001682897|exon|ENSG00000232738|gene
part_of|ENSE00003863098|exon|ENSG00000286470|gene
part_of|ENSE00003868250|exon|ENSG00000286470|gene
part_of|ENSE00003880241|exon|ENSG00000286470|gene
part_of|ENSE00001736075|exon|ENSG00000243961|gene
part_of|ENSE00001727795|exon|ENSG00000243961|gene
part_of|ENSE00001639435|exon|ENSG00000132623|gene
part_of|ENSE00001755953|exon|ENSG00000132623|gene
part_of|ENSE00001946515|exon|ENSG00000132623|gene
part_of|ENSE00003479326|exon|ENSG00000132623|gene
part_of|ENSE00001882823|exon|ENSG00000132623|gene
part_of|ENSE00003474270|exon|ENSG00000132623|gene
part_of|ENSE00003590148|exon|ENSG00000132623|gene
part_of|ENSE00003473553|exon|ENSG00000132623|gene
part_of|ENSE00003494486|exon|ENSG00000132623|gene
part_of|ENSE00003623880|exon|ENSG00000132623|gene
part_of|ENSE00003674131|exon|ENSG00000132623|gene
part_of|ENSE00003690857|exon|ENSG00000132623|gene
part_of|ENSE00001952776|exon|ENSG00000132623|gene
part_of|ENSE00003878659|exon|ENSG00000227906|gene
part_of|ENSE00003867187|exon|ENSG00000227906|gene
part_of|ENSE00003888198|exon|ENSG00000227906|gene
part_of|ENSE00003883120|exon|ENSG00000227906|gene
part_of|ENSE00003861280|exon|ENSG00000227906|gene
part_of|ENSE00003871236|exon|ENSG00000227906|gene
part_of|ENSE00003865888|exon|ENSG00000227906|gene
part_of|ENSE00003671633|exon|ENSG00000227906|gene
part_of|ENSE00003521230|exon|ENSG00000227906|gene
part_of|ENSE00003535996|exon|ENSG00000227906|gene
part_of|ENSE00001681685|exon|ENSG00000227906|gene
part_of|ENSE00001728322|exon|ENSG00000227906|gene
part_of|ENSE00001794719|exon|ENSG00000227906|gene
part_of|ENSE00003881707|exon|ENSG00000227906|gene
part_of|ENSE00003862134|exon|ENSG00000227906|gene
