gene_name|id|old_gene_name|source|source_url|transcript_id|transcript_name|transcript_type
DDX11L16|ENST00000832824||GENCODE|https://www.gencodegenes.org/|ENST00000832824.1|DDX11L16-260|lncRNA
DDX11L16|ENST00000832825||GENCODE|https://www.gencodegenes.org/|ENST00000832825.1|DDX11L16-261|lncRNA
DDX11L16|ENST00000832826||GENCODE|https://www.gencodegenes.org/|ENST00000832826.1|DDX11L16-262|lncRNA
DDX11L16|ENST00000832827||GENCODE|https://www.gencodegenes.org/|ENST00000832827.1|DDX11L16-263|lncRNA
DDX11L16|ENST00000832828||GENCODE|https://www.gencodegenes.org/|ENST00000832828.1|DDX11L16-264|lncRNA
DDX11L16|ENST00000832829||GENCODE|https://www.gencodegenes.org/|ENST00000832829.1|DDX11L16-265|lncRNA
DDX11L16|ENST00000832830||GENCODE|https://www.gencodegenes.org/|ENST00000832830.1|DDX11L16-266|lncRNA
DDX11L16|ENST00000832837||GENCODE|https://www.gencodegenes.org/|ENST00000832837.1|DDX11L16-273|lncRNA
DDX11L16|ENST00000832836||GENCODE|https://www.gencodegenes.org/|ENST00000832836.1|DDX11L16-272|lncRNA
DDX11L16|ENST00000832832||GENCODE|https://www.gencodegenes.org/|ENST00000832832.1|DDX11L16-268|lncRNA
DDX11L16|ENST00000832833||GENCODE|https://www.gencodegenes.org/|ENST00000832833.1|DDX11L16-269|lncRNA
DDX11L16|ENST00000832831||GENCODE|https://www.gencodegenes.org/|ENST00000832831.1|DDX11L16-267|lncRNA
DDX11L16|ENST00000832834||GENCODE|https://www.gencodegenes.org/|ENST00000832834.1|DDX11L16-270|lncRNA
DDX11L16|ENST00000832835||GENCODE|https://www.gencodegenes.org/|ENST00000832835.1|DDX11L16-271|lncRNA
DDX11L16|ENST00000832839||GENCODE|https://www.gencodegenes.org/|ENST00000832839.1|DDX11L16-275|lncRNA
DDX11L16|ENST00000832841||GENCODE|https://www.gencodegenes.org/|ENST00000832841.1|DDX11L16-277|lncRNA
DDX11L16|ENST00000832840||GENCODE|https://www.gencodegenes.org/|ENST00000832840.1|DDX11L16-276|lncRNA
DDX11L16|ENST00000832838||GENCODE|https://www.gencodegenes.org/|ENST00000832838.1|DDX11L16-274|lncRNA
DDX11L16|ENST00000832842||GENCODE|https://www.gencodegenes.org/|ENST00000832842.1|DDX11L16-278|lncRNA
DDX11L16|ENST00000456328||GENCODE|https://www.gencodegenes.org/|ENST00000456328.3|DDX11L16-258|lncRNA
DDX11L16|ENST00000832845||GENCODE|https://www.gencodegenes.org/|ENST00000832845.1|DDX11L16-281|lncRNA
DDX11L16|ENST00000832843||GENCODE|https://www.gencodegenes.org/|ENST00000832843.1|DDX11L16-279|lncRNA
DDX11L16|ENST00000832844||GENCODE|https://www.gencodegenes.org/|ENST00000832844.1|DDX11L16-280|lncRNA
DDX11L16|ENST00000832847||GENCODE|https://www.gencodegenes.org/|ENST00000832847.1|DDX11L16-283|lncRNA
DDX11L16|ENST00000832846||GENCODE|https://www.gencodegenes.org/|ENST00000832846.1|DDX11L16-282|lncRNA
DDX11L16|ENST00000832848||GENCODE|https://www.gencodegenes.org/|ENST00000832848.1|DDX11L16-284|lncRNA
DDX11L16|ENST00000832849||GENCODE|https://www.gencodegenes.org/|ENST00000832849.1|DDX11L16-285|lncRNA
DDX11L16|ENST00000832823||GENCODE|https://www.gencodegenes.org/|ENST00000832823.1|DDX11L16-259|lncRNA
DDX11L1|ENST00000450305||GENCODE|https://www.gencodegenes.org/|ENST00000450305.2|DDX11L1-201|transcribed_unprocessed_pseudogene
WASH7P|ENST00000831746||GENCODE|https://www.gencodegenes.org/|ENST00000831746.1|WASH7P-484|lncRNA
WASH7P|ENST00000831201||GENCODE|https://www.gencodegenes.org/|ENST00000831201.1|WASH7P-217|lncRNA
WASH7P|ENST00000831165||GENCODE|https://www.gencodegenes.org/|ENST00000831165.1|WASH7P-210|lncRNA
WASH7P|ENST00000831154||GENCODE|https://www.gencodegenes.org/|ENST00000831154.1|WASH7P-206|lncRNA
WASH7P|ENST00000831157||GENCODE|https://www.gencodegenes.org/|ENST00000831157.1|WASH7P-207|lncRNA
WASH7P|ENST00000831145||GENCODE|https://www.gencodegenes.org/|ENST00000831145.1|WASH7P-204|lncRNA
WASH7P|ENST00000831146||GENCODE|https://www.gencodegenes.org/|ENST00000831146.1|WASH7P-205|lncRNA
WASH7P|ENST00000831177||GENCODE|https://www.gencodegenes.org/|ENST00000831177.1|WASH7P-214|lncRNA
WASH7P|ENST00000831172||GENCODE|https://www.gencodegenes.org/|ENST00000831172.1|WASH7P-212|lncRNA
WASH7P|ENST00000831158||GENCODE|https://www.gencodegenes.org/|ENST00000831158.1|WASH7P-208|lncRNA
WASH7P|ENST00000831206||GENCODE|https://www.gencodegenes.org/|ENST00000831206.1|WASH7P-220|lncRNA
WASH7P|ENST00000831205||GENCODE|https://www.gencodegenes.org/|ENST00000831205.1|WASH7P-219|lncRNA
WASH7P|ENST00000831204||GENCODE|https://www.gencodegenes.org/|ENST00000831204.1|WASH7P-218|lncRNA
WASH7P|ENST00000831185||GENCODE|https://www.gencodegenes.org/|ENST00000831185.1|WASH7P-215|lncRNA
WASH7P|ENST00000831173||GENCODE|https://www.gencodegenes.org/|ENST00000831173.1|WASH7P-213|lncRNA
WASH7P|ENST00000831170||GENCODE|https://www.gencodegenes.org/|ENST00000831170.1|WASH7P-211|lncRNA
WASH7P|ENST00000831189||GENCODE|https://www.gencodegenes.org/|ENST00000831189.1|WASH7P-216|lncRNA
WASH7P|ENST00000831161||GENCODE|https://www.gencodegenes.org/|ENST00000831161.1|WASH7P-209|lncRNA
WASH7P|ENST00000831747||GENCODE|https://www.gencodegenes.org/|ENST00000831747.1|WASH7P-485|lncRNA
WASH7P|ENST00000831210||GENCODE|https://www.gencodegenes.org/|ENST00000831210.1|WASH7P-221|lncRNA
WASH7P|ENST00000831215||GENCODE|https://www.gencodegenes.org/|ENST00000831215.1|WASH7P-222|lncRNA
WASH7P|ENST00000831387||GENCODE|https://www.gencodegenes.org/|ENST00000831387.1|WASH7P-286|lncRNA
WASH7P|ENST00000831698||GENCODE|https://www.gencodegenes.org/|ENST00000831698.1|WASH7P-451|lncRNA
WASH7P|ENST00000831405||GENCODE|https://www.gencodegenes.org/|ENST00000831405.1|WASH7P-292|lncRNA
WASH7P|ENST00000831417||GENCODE|https://www.gencodegenes.org/|ENST00000831417.1|WASH7P-295|lncRNA
WASH7P|ENST00000831361||GENCODE|https://www.gencodegenes.org/|ENST00000831361.1|WASH7P-278|lncRNA
WASH7P|ENST00000831363||GENCODE|https://www.gencodegenes.org/|ENST00000831363.1|WASH7P-279|lncRNA
WASH7P|ENST00000831369||GENCODE|https://www.gencodegenes.org/|ENST00000831369.1|WASH7P-280|lncRNA
WASH7P|ENST00000831371||GENCODE|https://www.gencodegenes.org/|ENST00000831371.1|WASH7P-282|lncRNA
WASH7P|ENST00000831337||GENCODE|https://www.gencodegenes.org/|ENST00000831337.1|WASH7P-269|lncRNA
WASH7P|ENST00000831333||GENCODE|https://www.gencodegenes.org/|ENST00000831333.1|WASH7P-266|lncRNA
WASH7P|ENST00000831289||GENCODE|https://www.gencodegenes.org/|ENST00000831289.1|WASH7P-249|lncRNA
WASH7P|ENST00000831272||GENCODE|https://www.gencodegenes.org/|ENST00000831272.1|WASH7P-243|lncRNA
WASH7P|ENST00000831275||GENCODE|https://www.gencodegenes.org/|ENST00000831275.1|WASH7P-244|lncRNA
WASH7P|ENST00000831261||GENCODE|https://www.gencodegenes.org/|ENST00000831261.1|WASH7P-242|lncRNA
WASH7P|ENST00000831253||GENCODE|https://www.gencodegenes.org/|ENST00000831253.1|WASH7P-241|lncRNA
WASH7P|ENST00000831248||GENCODE|https://www.gencodegenes.org/|ENST00000831248.1|WASH7P-240|lncRNA
WASH7P|ENST00000831222||GENCODE|https://www.gencodegenes.org/|ENST00000831222.1|WASH7P-226|lncRNA
WASH7P|ENST00000831225||GENCODE|https://www.gencodegenes.org/|ENST00000831225.1|WASH7P-227|lncRNA
WASH7P|ENST00000831228||GENCODE|https://www.gencodegenes.org/|ENST00000831228.1|WASH7P-228|lncRNA
WASH7P|ENST00000831229||GENCODE|https://www.gencodegenes.org/|ENST00000831229.1|WASH7P-229|lncRNA
WASH7P|ENST00000831230||GENCODE|https://www.gencodegenes.org/|ENST00000831230.1|WASH7P-230|lncRNA
WASH7P|ENST00000831231||GENCODE|https://www.gencodegenes.org/|ENST00000831231.1|WASH7P-231|lncRNA
WASH7P|ENST00000831232||GENCODE|https://www.gencodegenes.org/|ENST00000831232.1|WASH7P-232|lncRNA
WASH7P|ENST00000831219||GENCODE|https://www.gencodegenes.org/|ENST00000831219.1|WASH7P-225|lncRNA
