accessions|canonical_accession|id|is_canonical|is_isoform|isoform_name|protein_name|source|source_url
"[""A8K9K2"", ""E1P616""]"||P31946|True|||1433B|UniProt|https://www.uniprot.org/
|P31946|P31946-1||True|Long|1433B|UniProt|https://www.uniprot.org/
|P31946|P31946-2||True|Short|1433B|UniProt|https://www.uniprot.org/
"[""B3KY71"", ""D3DTH5"", ""P29360"", ""P42655"", ""Q4VJB6"", ""Q53XZ5"", ""Q63631"", ""Q7M4R4""]"||P62258|True|||1433E|UniProt|https://www.uniprot.org/
|P62258|P62258-1||True|1|1433E|UniProt|https://www.uniprot.org/
|P62258|P62258-2||True|SV|1433E|UniProt|https://www.uniprot.org/
||Q04917|True|||1433F|UniProt|https://www.uniprot.org/
"[""O70457"", ""P35214"", ""Q6FH52"", ""Q9UDP2"", ""Q9UN99""]"||P61981|True|||1433G|UniProt|https://www.uniprot.org/
"[""Q6FH30"", ""Q6FH51"", ""Q96DH0""]"||P31947|True|||1433S|UniProt|https://www.uniprot.org/
|P31947|P31947-1||True|1|1433S|UniProt|https://www.uniprot.org/
|P31947|P31947-2||True|2|1433S|UniProt|https://www.uniprot.org/
"[""D6W4Z5"", ""Q567U5"", ""Q5TZU8"", ""Q9UP48""]"||P27348|True|||1433T|UniProt|https://www.uniprot.org/
"[""A8K1N0"", ""B7Z465"", ""P29213"", ""P29312"", ""Q32P43"", ""Q5XJ08"", ""Q6GPI2"", ""Q6IN74"", ""Q6NUR9"", ""Q6P3U9"", ""Q86V33""]"||P63104|True|||1433Z|UniProt|https://www.uniprot.org/
|P63104|P63104-1||True|1|1433Z|UniProt|https://www.uniprot.org/
|P63104|P63104-2||True|2|1433Z|UniProt|https://www.uniprot.org/
"[""B4E219"", ""Q8WUL4"", ""Q96LX5""]"||Q96QU6|True|||1A1L1|UniProt|https://www.uniprot.org/
|Q96QU6|Q96QU6-1||True|1|1A1L1|UniProt|https://www.uniprot.org/
|Q96QU6|Q96QU6-2||True|2|1A1L1|UniProt|https://www.uniprot.org/
||Q4AC99|True|||1A1L2|UniProt|https://www.uniprot.org/
"[""B2R6D2"", ""B7Z7L2"", ""D3DT99"", ""Q2NL72"", ""Q5VVB2"", ""Q8TBI9""]"||Q15172|True|||2A5A|UniProt|https://www.uniprot.org/
|Q15172|Q15172-1||True|1|2A5A|UniProt|https://www.uniprot.org/
|Q15172|Q15172-2||True|2|2A5A|UniProt|https://www.uniprot.org/
"[""Q13853""]"||Q15173|True|||2A5B|UniProt|https://www.uniprot.org/
|Q15173|Q15173-1||True|Beta-1|2A5B|UniProt|https://www.uniprot.org/
|Q15173|Q15173-2||True|Beta-2|2A5B|UniProt|https://www.uniprot.org/
"[""A8K3I9"", ""B5BUA6"", ""O00494"", ""O00696"", ""Q15171"", ""Q5TC39""]"||Q14738|True|||2A5D|UniProt|https://www.uniprot.org/
|Q14738|Q14738-1||True|Delta-1|2A5D|UniProt|https://www.uniprot.org/
|Q14738|Q14738-2||True|Delta-2|2A5D|UniProt|https://www.uniprot.org/
|Q14738|Q14738-3||True|Delta-3|2A5D|UniProt|https://www.uniprot.org/
"[""A4FU37"", ""B7ZAW5"", ""B7ZKK8"", ""B7ZKK9"", ""J3KQN6"", ""Q52LW4""]"||Q16537|True|||2A5E|UniProt|https://www.uniprot.org/
|Q16537|Q16537-1||True|1|2A5E|UniProt|https://www.uniprot.org/
|Q16537|Q16537-2||True|2|2A5E|UniProt|https://www.uniprot.org/
|Q16537|Q16537-3||True|3|2A5E|UniProt|https://www.uniprot.org/
"[""B4DYJ8"", ""B5BUA5"", ""F5GWP3"", ""Q14391"", ""Q15060"", ""Q15174"", ""Q6ZN33""]"||Q13362|True|||2A5G|UniProt|https://www.uniprot.org/
