chr|end|id|rna_type|source|source_url|start|taxon_id
chr1|10273|URS000035F234|piRNA|RNAcentral|https://rnacentral.org/downloads|10245|9606
chr1|14407|URS0002853A2B|lncRNA|RNAcentral|https://rnacentral.org/downloads|11612|9606
chr1|14407|URS0002853A4B|lncRNA|RNAcentral|https://rnacentral.org/downloads|11612|9606
chr1|14409|URS00008C1902|lncRNA|RNAcentral|https://rnacentral.org/downloads|11868|9606
chr1|14412|URS00008B37EC|lncRNA|RNAcentral|https://rnacentral.org/downloads|11871|9606
chr1|14409|URS00008C0037|lncRNA|RNAcentral|https://rnacentral.org/downloads|11873|9606
chr1|13670|URS00008C1914|lncRNA|RNAcentral|https://rnacentral.org/downloads|12009|9606
chr1|29331|URS0002033896|lncRNA|RNAcentral|https://rnacentral.org/downloads|14397|9606
chr1|119856|URS0001A132AA|lncRNA|RNAcentral|https://rnacentral.org/downloads|14405|9606
chr1|19100|URS00019A6210|lncRNA|RNAcentral|https://rnacentral.org/downloads|14405|9606
chr1|19100|URS0001C016E6|lncRNA|RNAcentral|https://rnacentral.org/downloads|14405|9606
chr1|29370|URS00009BAB0C|lncRNA|RNAcentral|https://rnacentral.org/downloads|14407|9606
chr1|199841|URS0001E75698|lncRNA|RNAcentral|https://rnacentral.org/downloads|14456|9606
chr1|14657|URS00003B2E18|piRNA|RNAcentral|https://rnacentral.org/downloads|14630|9606
chr1|16668|URS00008C39CF|lncRNA|RNAcentral|https://rnacentral.org/downloads|14777|9606
chr1|16668|URS00008C39CF|lncRNA|RNAcentral|https://rnacentral.org/downloads|14778|9606
chr1|29370|URS00008C21B6|lncRNA|RNAcentral|https://rnacentral.org/downloads|15602|9606
chr1|29370|URS00009C129F|lncRNA|RNAcentral|https://rnacentral.org/downloads|15602|9606
chr1|29370|URS00008C21B6|lncRNA|RNAcentral|https://rnacentral.org/downloads|15603|9606
chr1|29370|URS00009C129F|lncRNA|RNAcentral|https://rnacentral.org/downloads|15603|9606
chr1|17751|URS00008C35EF|lncRNA|RNAcentral|https://rnacentral.org/downloads|16857|9606
chr1|17751|URS00008C35EF|lncRNA|RNAcentral|https://rnacentral.org/downloads|16858|9606
chr1|29348|URS00008C0F60|lncRNA|RNAcentral|https://rnacentral.org/downloads|16996|9606
chr1|29370|URS00009BC756|lncRNA|RNAcentral|https://rnacentral.org/downloads|17233|9606
chr1|17391|URS000075C233|miRNA|RNAcentral|https://rnacentral.org/downloads|17369|9606
chr1|17436|URS000075A3E2|pre_miRNA|RNAcentral|https://rnacentral.org/downloads|17369|9606
chr1|17431|URS0000759D8E|miRNA|RNAcentral|https://rnacentral.org/downloads|17409|9606
chr1|29370|URS00008C3A07|lncRNA|RNAcentral|https://rnacentral.org/downloads|17605|9606
chr1|18563|URS00002BB668|piRNA|RNAcentral|https://rnacentral.org/downloads|18536|9606
chr1|25940|URS00008B5770|lncRNA|RNAcentral|https://rnacentral.org/downloads|24475|9606
chr1|25940|URS00008B5770|lncRNA|RNAcentral|https://rnacentral.org/downloads|24476|9606
chr1|29345|URS0002A15F0C|lncRNA|RNAcentral|https://rnacentral.org/downloads|28589|9606
chr1|31109|URS0002A6D2E9|lncRNA|RNAcentral|https://rnacentral.org/downloads|28977|9606
chr1|31097|URS0000268115|lncRNA|RNAcentral|https://rnacentral.org/downloads|29553|9606
