chr|end|id|start|taxon_id
chr1|959305|CHR1_959246_959305_GRCH38|959246|9606
chr1|960643|CHR1_960584_960643_GRCH38|960584|9606
chr1|966492|CHR1_966433_966492_GRCH38|966433|9606
chr1|976730|CHR1_976671_976730_GRCH38|976671|9606
chr1|1000146|CHR1_1000087_1000146_GRCH38|1000087|9606
chr1|1000521|CHR1_1000462_1000521_GRCH38|1000462|9606
chr1|1013507|CHR1_1013448_1013507_GRCH38|1013448|9606
chr1|1020130|CHR1_1020071_1020130_GRCH38|1020071|9606
chr1|1173908|CHR1_1173849_1173908_GRCH38|1173849|9606
chr1|1179698|CHR1_1179639_1179698_GRCH38|1179639|9606
chr1|1205639|CHR1_1205580_1205639_GRCH38|1205580|9606
chr1|1206630|CHR1_1206571_1206630_GRCH38|1206571|9606
chr1|1206758|CHR1_1206699_1206758_GRCH38|1206699|9606
chr1|1214202|CHR1_1214143_1214202_GRCH38|1214143|9606
chr1|1232050|CHR1_1231991_1232050_GRCH38|1231991|9606
chr1|1240967|CHR1_1240908_1240967_GRCH38|1240908|9606
chr1|1273882|CHR1_1273823_1273882_GRCH38|1273823|9606
chr1|1305988|CHR1_1305929_1305988_GRCH38|1305929|9606
chr1|1307979|CHR1_1307920_1307979_GRCH38|1307920|9606
chr1|1308198|CHR1_1308139_1308198_GRCH38|1308139|9606
chr1|1308607|CHR1_1308548_1308607_GRCH38|1308548|9606
chr1|1309879|CHR1_1309820_1309879_GRCH38|1309820|9606
chr1|1312773|CHR1_1312714_1312773_GRCH38|1312714|9606
chr1|1324709|CHR1_1324650_1324709_GRCH38|1324650|9606
chr1|1349178|CHR1_1349119_1349178_GRCH38|1349119|9606
chr1|1358592|CHR1_1358533_1358592_GRCH38|1358533|9606
chr1|1375231|CHR1_1375172_1375231_GRCH38|1375172|9606
chr1|1375548|CHR1_1375489_1375548_GRCH38|1375489|9606
chr1|1399363|CHR1_1399304_1399363_GRCH38|1399304|9606
chr1|1407342|CHR1_1407283_1407342_GRCH38|1407283|9606
chr1|1421394|CHR1_1421335_1421394_GRCH38|1421335|9606
chr1|1435700|CHR1_1435641_1435700_GRCH38|1435641|9606
chr1|1462479|CHR1_1462420_1462479_GRCH38|1462420|9606
chr1|1471791|CHR1_1471732_1471791_GRCH38|1471732|9606
chr1|1512172|CHR1_1512113_1512172_GRCH38|1512113|9606
chr1|1574653|CHR1_1574594_1574653_GRCH38|1574594|9606
chr1|1574912|CHR1_1574853_1574912_GRCH38|1574853|9606
chr1|1615526|CHR1_1615467_1615526_GRCH38|1615467|9606
chr1|1632198|CHR1_1632139_1632198_GRCH38|1632139|9606
chr1|1657452|CHR1_1657393_1657452_GRCH38|1657393|9606
chr1|1659021|CHR1_1658962_1659021_GRCH38|1658962|9606
chr1|1659258|CHR1_1659199_1659258_GRCH38|1659199|9606
chr1|1692556|CHR1_1692497_1692556_GRCH38|1692497|9606
chr1|1692758|CHR1_1692699_1692758_GRCH38|1692699|9606
chr1|1692871|CHR1_1692812_1692871_GRCH38|1692812|9606
chr1|1708939|CHR1_1708880_1708939_GRCH38|1708880|9606
chr1|1719501|CHR1_1719442_1719501_GRCH38|1719442|9606
chr1|1721717|CHR1_1721658_1721717_GRCH38|1721658|9606
chr1|1724383|CHR1_1724324_1724383_GRCH38|1724324|9606
chr1|1727766|CHR1_1727707_1727766_GRCH38|1727707|9606
chr1|1745831|CHR1_1745772_1745831_GRCH38|1745772|9606
chr1|1746051|CHR1_1745992_1746051_GRCH38|1745992|9606
chr1|1746326|CHR1_1746267_1746326_GRCH38|1746267|9606
chr1|1778498|CHR1_1778439_1778498_GRCH38|1778439|9606
chr1|1778864|CHR1_1778805_1778864_GRCH38|1778805|9606
chr1|1780080|CHR1_1780021_1780080_GRCH38|1780021|9606
chr1|1780563|CHR1_1780504_1780563_GRCH38|1780504|9606
chr1|1890903|CHR1_1890844_1890903_GRCH38|1890844|9606
chr1|1891119|CHR1_1891060_1891119_GRCH38|1891060|9606
chr1|1918849|CHR1_1918790_1918849_GRCH38|1918790|9606
chr1|1919328|CHR1_1919269_1919328_GRCH38|1919269|9606
chr1|2003835|CHR1_2003776_2003835_GRCH38|2003776|9606
chr1|2019370|CHR1_2019311_2019370_GRCH38|2019311|9606
chr1|2048565|CHR1_2048506_2048565_GRCH38|2048506|9606
chr1|2050421|CHR1_2050362_2050421_GRCH38|2050362|9606
chr1|2073558|CHR1_2073499_2073558_GRCH38|2073499|9606
chr1|2073674|CHR1_2073615_2073674_GRCH38|2073615|9606
chr1|2145397|CHR1_2145338_2145397_GRCH38|2145338|9606
chr1|2194821|CHR1_2194762_2194821_GRCH38|2194762|9606
chr1|2228699|CHR1_2228640_2228699_GRCH38|2228640|9606
chr1|2391603|CHR1_2391544_2391603_GRCH38|2391544|9606
chr1|2391852|CHR1_2391793_2391852_GRCH38|2391793|9606
chr1|2412592|CHR1_2412533_2412592_GRCH38|2412533|9606
chr1|2413860|CHR1_2413801_2413860_GRCH38|2413801|9606
chr1|2415959|CHR1_2415900_2415959_GRCH38|2415900|9606
chr1|2476331|CHR1_2476272_2476331_GRCH38|2476272|9606
chr1|2526645|CHR1_2526586_2526645_GRCH38|2526586|9606
chr1|2530312|CHR1_2530253_2530312_GRCH38|2530253|9606
chr1|2554304|CHR1_2554245_2554304_GRCH38|2554245|9606
chr1|2556381|CHR1_2556322_2556381_GRCH38|2556322|9606
chr1|2556573|CHR1_2556514_2556573_GRCH38|2556514|9606
chr1|2586533|CHR1_2586474_2586533_GRCH38|2586474|9606
chr1|2586808|CHR1_2586749_2586808_GRCH38|2586749|9606
chr1|2629456|CHR1_2629397_2629456_GRCH38|2629397|9606
chr1|2633039|CHR1_2632980_2633039_GRCH38|2632980|9606
chr1|3068720|CHR1_3068661_3068720_GRCH38|3068661|9606
chr1|3069213|CHR1_3069154_3069213_GRCH38|3069154|9606
chr1|3116301|CHR1_3116242_3116301_GRCH38|3116242|9606
chr1|3471634|CHR1_3471575_3471634_GRCH38|3471575|9606
chr1|3531460|CHR1_3531401_3531460_GRCH38|3531401|9606
chr1|3611545|CHR1_3611486_3611545_GRCH38|3611486|9606
chr1|3619628|CHR1_3619569_3619628_GRCH38|3619569|9606
chr1|3624828|CHR1_3624769_3624828_GRCH38|3624769|9606
chr1|3625044|CHR1_3624985_3625044_GRCH38|3624985|9606
chr1|3650152|CHR1_3650093_3650152_GRCH38|3650093|9606
chr1|3652526|CHR1_3652467_3652526_GRCH38|3652467|9606
chr1|3690682|CHR1_3690623_3690682_GRCH38|3690623|9606
chr1|3698056|CHR1_3697997_3698056_GRCH38|3697997|9606
chr1|3752460|CHR1_3752401_3752460_GRCH38|3752401|9606
chr1|3772665|CHR1_3772606_3772665_GRCH38|3772606|9606
chr1|3796543|CHR1_3796484_3796543_GRCH38|3796484|9606
chr1|3857260|CHR1_3857201_3857260_GRCH38|3857201|9606
chr1|3857296|CHR1_3857237_3857296_GRCH38|3857237|9606
chr1|3857486|CHR1_3857427_3857486_GRCH38|3857427|9606
chr1|3900307|CHR1_3900248_3900307_GRCH38|3900248|9606
chr1|4655222|CHR1_4655163_4655222_GRCH38|4655163|9606
chr1|5992434|CHR1_5992375_5992434_GRCH38|5992375|9606
chr1|5992474|CHR1_5992415_5992474_GRCH38|5992415|9606
chr1|6025997|CHR1_6025938_6025997_GRCH38|6025938|9606
chr1|6026343|CHR1_6026284_6026343_GRCH38|6026284|9606
chr1|6180173|CHR1_6180114_6180173_GRCH38|6180114|9606
chr1|6199643|CHR1_6199584_6199643_GRCH38|6199584|9606
chr1|6206129|CHR1_6206070_6206129_GRCH38|6206070|9606
chr1|6236013|CHR1_6235954_6236013_GRCH38|6235954|9606
chr1|6259488|CHR1_6259429_6259488_GRCH38|6259429|9606
chr1|6261113|CHR1_6261054_6261113_GRCH38|6261054|9606
chr1|6358978|CHR1_6358919_6358978_GRCH38|6358919|9606
chr1|6360750|CHR1_6360691_6360750_GRCH38|6360691|9606
chr1|6385846|CHR1_6385787_6385846_GRCH38|6385787|9606
chr1|6393426|CHR1_6393367_6393426_GRCH38|6393367|9606
chr1|6393816|CHR1_6393757_6393816_GRCH38|6393757|9606
chr1|6419968|CHR1_6419909_6419968_GRCH38|6419909|9606
chr1|6424730|CHR1_6424671_6424730_GRCH38|6424671|9606
chr1|6424786|CHR1_6424727_6424786_GRCH38|6424727|9606
chr1|6448098|CHR1_6448039_6448098_GRCH38|6448039|9606
chr1|6448501|CHR1_6448442_6448501_GRCH38|6448442|9606
chr1|6466201|CHR1_6466142_6466201_GRCH38|6466142|9606
